Year,Age 9 ,Age 13,Age 17
1978,218.5978412,264.1268519,300.3724129
1982,218.9797568,268.6251831,298.4726213
1986,221.7069162,268.982883,301.9536201
1990,229.636073,270.4017522,304.5552571
1992,229.5994114,273.0747133,306.7336327
1994,231.0849694,274.3320454,306.2042971
1996,230.9677491,274.2983611,307.1835741
1999,232.0114403,275.8494107,308.2012954
20041,241.2319834,281.0027313,306.7279238
20042,239.350352,278.7735003,305.3003045
2008,242.86219,281.4577705,306.0788849
2012,243.9860905,284.9991169,306.3159467
2020,241.354943,279.7207243,
