Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,National,Eligible,222.7338
2022,National,Not eligible,248.3996
2022,National,Information not available,246.9683
2022,Alabama,Eligible,218.1701
2022,Alabama,Not eligible,241.6438
2022,Alabama,Information not available,à
2022,Alaska,Eligible,213.0421
2022,Alaska,Not eligible,237.6316
2022,Alaska,Information not available,à
2022,Arizona,Eligible,218.1963
2022,Arizona,Not eligible,241.5501
2022,Arizona,Information not available,à
2022,Arkansas,Eligible,220.5940
2022,Arkansas,Not eligible,242.2028
2022,Arkansas,Information not available,à
2022,California,Eligible,218.1377
2022,California,Not eligible,249.9422
2022,California,Information not available,228.9392
2022,Colorado,Eligible,220.4895
2022,Colorado,Not eligible,246.9621
2022,Colorado,Information not available,à
2022,Connecticut,Eligible,218.9210
2022,Connecticut,Not eligible,247.9923
2022,Connecticut,Information not available,à
2022,Delaware,Eligible,210.1538
2022,Delaware,Not eligible,230.4609
2022,Delaware,Information not available,à
2022,District of Columbia,Eligible,212.6278
2022,District of Columbia,Not eligible,257.2610
2022,District of Columbia,Information not available,à
2022,DoDEA,Eligible,à
2022,DoDEA,Not eligible,à
2022,DoDEA,Information not available,à
2022,Florida,Eligible,233.1682
2022,Florida,Not eligible,250.8388
2022,Florida,Information not available,à
2022,Georgia,Eligible,225.1531
2022,Georgia,Not eligible,247.5517
2022,Georgia,Information not available,à
2022,Hawaii,Eligible,225.4122
2022,Hawaii,Not eligible,245.0507
2022,Hawaii,Information not available,à
2022,Idaho,Eligible,225.8890
2022,Idaho,Not eligible,246.4714
2022,Idaho,Information not available,240.7791
2022,Illinois,Eligible,220.5114
2022,Illinois,Not eligible,250.1256
2022,Illinois,Information not available,236.6079
2022,Indiana,Eligible,229.1164
2022,Indiana,Not eligible,249.9719
2022,Indiana,Information not available,à
2022,Iowa,Eligible,225.6627
2022,Iowa,Not eligible,250.4781
2022,Iowa,Information not available,à
2022,Kansas,Eligible,219.7612
2022,Kansas,Not eligible,248.1488
2022,Kansas,Information not available,à
2022,Kentucky,Eligible,223.7103
2022,Kentucky,Not eligible,248.1101
2022,Kentucky,Information not available,à
2022,Louisiana,Eligible,221.4760
2022,Louisiana,Not eligible,249.1076
2022,Louisiana,Information not available,à
2022,Maine,Eligible,220.2533
2022,Maine,Not eligible,241.7048
2022,Maine,Information not available,à
2022,Maryland,Eligible,210.0270
2022,Maryland,Not eligible,243.8201
2022,Maryland,Information not available,à
2022,Massachusetts,Eligible,225.3540
2022,Massachusetts,Not eligible,254.2460
2022,Massachusetts,Information not available,à
2022,Michigan,Eligible,219.5367
2022,Michigan,Not eligible,247.1183
2022,Michigan,Information not available,à
2022,Minnesota,Eligible,219.4060
2022,Minnesota,Not eligible,248.8664
2022,Minnesota,Information not available,à
2022,Mississippi,Eligible,229.1304
2022,Mississippi,Not eligible,250.2287
2022,Mississippi,Information not available,à
2022,Missouri,Eligible,216.6288
2022,Missouri,Not eligible,245.9875
2022,Missouri,Information not available,à
2022,Montana,Eligible,228.4366
2022,Montana,Not eligible,245.3289
2022,Montana,Information not available,à
2022,Nebraska,Eligible,225.8870
2022,Nebraska,Not eligible,253.3604
2022,Nebraska,Information not available,à
2022,Nevada,Eligible,225.4437
2022,Nevada,Not eligible,246.5216
2022,Nevada,Information not available,à
2022,New Hampshire,Eligible,224.1287
2022,New Hampshire,Not eligible,244.4455
2022,New Hampshire,Information not available,241.0902
2022,New Jersey,Eligible,219.8249
2022,New Jersey,Not eligible,250.3072
2022,New Jersey,Information not available,240.6472
2022,New Mexico,Eligible,216.4553
2022,New Mexico,Not eligible,238.2993
2022,New Mexico,Information not available,à
2022,New York,Eligible,217.2624
2022,New York,Not eligible,243.4626
2022,New York,Information not available,à
2022,North Carolina,Eligible,219.4868
2022,North Carolina,Not eligible,246.1571
2022,North Carolina,Information not available,à
2022,North Dakota,Eligible,225.3512
2022,North Dakota,Not eligible,244.9630
2022,North Dakota,Information not available,à
2022,Ohio,Eligible,221.3191
2022,Ohio,Not eligible,252.0798
2022,Ohio,Information not available,à
2022,Oklahoma,Eligible,222.3509
2022,Oklahoma,Not eligible,242.3764
2022,Oklahoma,Information not available,à
2022,Oregon,Eligible,228.0839
2022,Oregon,Not eligible,à
2022,Oregon,Information not available,à
2022,Pennsylvania,Eligible,223.1224
2022,Pennsylvania,Not eligible,249.7717
2022,Pennsylvania,Information not available,à
2022,Puerto Rico,Eligible,176.3786
2022,Puerto Rico,Not eligible,190.5747
2022,Puerto Rico,Information not available,à
2022,Rhode Island,Eligible,222.4335
2022,Rhode Island,Not eligible,244.4705
2022,Rhode Island,Information not available,à
2022,South Carolina,Eligible,224.0018
2022,South Carolina,Not eligible,250.3215
2022,South Carolina,Information not available,à
2022,South Dakota,Eligible,220.4945
2022,South Dakota,Not eligible,246.1021
2022,South Dakota,Information not available,à
2022,Tennessee,Eligible,220.5775
2022,Tennessee,Not eligible,243.0281
2022,Tennessee,Information not available,à
2022,Texas,Eligible,228.2129
2022,Texas,Not eligible,253.4965
2022,Texas,Information not available,à
2022,Utah,Eligible,222.4477
2022,Utah,Not eligible,247.9497
2022,Utah,Information not available,à
2022,Vermont,Eligible,218.6930
2022,Vermont,Not eligible,244.4554
2022,Vermont,Information not available,à
2022,Virginia,Eligible,218.3199
2022,Virginia,Not eligible,249.3074
2022,Virginia,Information not available,à
2022,Washington,Eligible,222.1737
2022,Washington,Not eligible,247.5933
2022,Washington,Information not available,à
2022,West Virginia,Eligible,219.7007
2022,West Virginia,Not eligible,233.4739
2022,West Virginia,Information not available,à
2022,Wisconsin,Eligible,224.0360
2022,Wisconsin,Not eligible,252.3323
2022,Wisconsin,Information not available,à
2022,Wyoming,Eligible,231.9223
2022,Wyoming,Not eligible,247.7416
2022,Wyoming,Information not available,à
2019,National,Eligible,228.9753
2019,National,Not eligible,253.1295
2019,National,Information not available,246.5932
2019,Alabama,Eligible,219.5904
2019,Alabama,Not eligible,242.8770
2019,Alabama,Information not available,à
2019,Alaska,Eligible,219.6948
2019,Alaska,Not eligible,244.9852
2019,Alaska,Information not available,à
2019,Arizona,Eligible,226.0013
2019,Arizona,Not eligible,250.8226
2019,Arizona,Information not available,249.2625
2019,Arkansas,Eligible,226.0280
2019,Arkansas,Not eligible,247.9789
2019,Arkansas,Information not available,à
2019,California,Eligible,223.4732
2019,California,Not eligible,251.7741
2019,California,Information not available,à
2019,Colorado,Eligible,225.3259
2019,Colorado,Not eligible,254.3929
2019,Colorado,Information not available,à
2019,Connecticut,Eligible,227.4028
2019,Connecticut,Not eligible,255.9000
2019,Connecticut,Information not available,à
2019,Delaware,Eligible,226.7195
2019,Delaware,Not eligible,245.1214
2019,Delaware,Information not available,à
2019,District of Columbia,Eligible,226.0570
2019,District of Columbia,Not eligible,257.8727
2019,District of Columbia,Information not available,à
2019,DoDEA,Eligible,à
2019,DoDEA,Not eligible,à
2019,DoDEA,Information not available,à
2019,Florida,Eligible,239.2316
2019,Florida,Not eligible,256.2206
2019,Florida,Information not available,à
2019,Georgia,Eligible,226.9173
2019,Georgia,Not eligible,257.1282
2019,Georgia,Information not available,247.4280
2019,Hawaii,Eligible,226.3207
2019,Hawaii,Not eligible,248.4860
2019,Hawaii,Information not available,à
2019,Idaho,Eligible,232.8815
2019,Idaho,Not eligible,251.1995
2019,Idaho,Information not available,à
2019,Illinois,Eligible,226.4968
2019,Illinois,Not eligible,249.3667
2019,Illinois,Information not available,à
2019,Indiana,Eligible,234.5794
2019,Indiana,Not eligible,256.4363
2019,Indiana,Information not available,à
2019,Iowa,Eligible,226.9579
2019,Iowa,Not eligible,252.6576
2019,Iowa,Information not available,à
2019,Kansas,Eligible,227.6652
2019,Kansas,Not eligible,252.1760
2019,Kansas,Information not available,227.7352
2019,Kentucky,Eligible,230.4328
2019,Kentucky,Not eligible,252.9273
2019,Kentucky,Information not available,à
2019,Louisiana,Eligible,224.4040
2019,Louisiana,Not eligible,249.6594
2019,Louisiana,Information not available,à
2019,Maine,Eligible,229.6862
2019,Maine,Not eligible,250.6482
2019,Maine,Information not available,à
2019,Maryland,Eligible,224.1411
2019,Maryland,Not eligible,252.3790
2019,Maryland,Information not available,à
2019,Massachusetts,Eligible,230.8464
2019,Massachusetts,Not eligible,256.5802
2019,Massachusetts,Information not available,à
2019,Michigan,Eligible,224.4570
2019,Michigan,Not eligible,248.5278
2019,Michigan,Information not available,à
2019,Minnesota,Eligible,231.1200
2019,Minnesota,Not eligible,258.7301
2019,Minnesota,Information not available,à
2019,Mississippi,Eligible,236.2507
2019,Mississippi,Not eligible,257.5680
2019,Mississippi,Information not available,à
2019,Missouri,Eligible,229.6115
2019,Missouri,Not eligible,251.3990
2019,Missouri,Information not available,à
2019,Montana,Eligible,231.5135
2019,Montana,Not eligible,249.6601
2019,Montana,Information not available,à
2019,Nebraska,Eligible,232.5211
2019,Nebraska,Not eligible,254.3694
2019,Nebraska,Information not available,à
2019,Nevada,Eligible,229.1196
2019,Nevada,Not eligible,249.6527
2019,Nevada,Information not available,à
2019,New Hampshire,Eligible,232.4142
2019,New Hampshire,Not eligible,251.5610
