Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,National,Eligible,247.9898
2022,National,Not eligible,270.6677
2022,National,Information not available,274.1848
2022,Alabama,Eligible,238.4019
2022,Alabama,Not eligible,261.4955
2022,Alabama,Information not available,à
2022,Alaska,Eligible,235.5266
2022,Alaska,Not eligible,265.4239
2022,Alaska,Information not available,à
2022,Arizona,Eligible,247.2441
2022,Arizona,Not eligible,268.4633
2022,Arizona,Information not available,à
2022,Arkansas,Eligible,248.7210
2022,Arkansas,Not eligible,267.3398
2022,Arkansas,Information not available,à
2022,California,Eligible,248.1208
2022,California,Not eligible,274.3995
2022,California,Information not available,260.4185
2022,Colorado,Eligible,245.4182
2022,Colorado,Not eligible,273.7567
2022,Colorado,Information not available,à
2022,Connecticut,Eligible,248.1431
2022,Connecticut,Not eligible,273.8191
2022,Connecticut,Information not available,à
2022,Delaware,Eligible,241.2989
2022,Delaware,Not eligible,256.2614
2022,Delaware,Information not available,à
2022,District of Columbia,Eligible,240.5373
2022,District of Columbia,Not eligible,283.6934
2022,District of Columbia,Information not available,à
2022,DoDEA,Eligible,à
2022,DoDEA,Not eligible,à
2022,DoDEA,Information not available,à
2022,Florida,Eligible,252.5069
2022,Florida,Not eligible,268.6445
2022,Florida,Information not available,à
2022,Georgia,Eligible,249.8300
2022,Georgia,Not eligible,271.8938
2022,Georgia,Information not available,à
2022,Hawaii,Eligible,246.3090
2022,Hawaii,Not eligible,268.7226
2022,Hawaii,Information not available,à
2022,Idaho,Eligible,253.5712
2022,Idaho,Not eligible,270.9528
2022,Idaho,Information not available,264.1552
2022,Illinois,Eligible,248.0133
2022,Illinois,Not eligible,274.1558
2022,Illinois,Information not available,252.6711
2022,Indiana,Eligible,248.9958
2022,Indiana,Not eligible,271.2851
2022,Indiana,Information not available,à
2022,Iowa,Eligible,245.4581
2022,Iowa,Not eligible,268.8663
2022,Iowa,Information not available,à
2022,Kansas,Eligible,242.6676
2022,Kansas,Not eligible,267.3679
2022,Kansas,Information not available,à
2022,Kentucky,Eligible,248.8349
2022,Kentucky,Not eligible,271.6279
2022,Kentucky,Information not available,à
2022,Louisiana,Eligible,249.1921
2022,Louisiana,Not eligible,271.9173
2022,Louisiana,Information not available,à
2022,Maine,Eligible,241.7410
2022,Maine,Not eligible,265.7422
2022,Maine,Information not available,à
2022,Maryland,Eligible,242.5525
2022,Maryland,Not eligible,271.4763
2022,Maryland,Information not available,à
2022,Massachusetts,Eligible,253.6122
2022,Massachusetts,Not eligible,279.4569
2022,Massachusetts,Information not available,à
2022,Michigan,Eligible,246.3666
2022,Michigan,Not eligible,269.6364
2022,Michigan,Information not available,à
2022,Minnesota,Eligible,241.5046
2022,Minnesota,Not eligible,267.8738
2022,Minnesota,Information not available,à
2022,Mississippi,Eligible,247.2945
2022,Mississippi,Not eligible,271.2500
2022,Mississippi,Information not available,à
2022,Missouri,Eligible,244.0090
2022,Missouri,Not eligible,267.6035
2022,Missouri,Information not available,à
2022,Montana,Eligible,248.7099
2022,Montana,Not eligible,269.1651
2022,Montana,Information not available,à
2022,Nebraska,Eligible,247.5684
2022,Nebraska,Not eligible,267.5803
2022,Nebraska,Information not available,à
2022,Nevada,Eligible,255.2313
2022,Nevada,Not eligible,271.3512
2022,Nevada,Information not available,à
2022,New Hampshire,Eligible,252.4734
2022,New Hampshire,Not eligible,268.0699
2022,New Hampshire,Information not available,260.8376
2022,New Jersey,Eligible,250.9712
2022,New Jersey,Not eligible,279.0016
2022,New Jersey,Information not available,à
2022,New Mexico,Eligible,242.3596
2022,New Mexico,Not eligible,264.8280
2022,New Mexico,Information not available,à
2022,New York,Eligible,250.7269
2022,New York,Not eligible,277.0018
2022,New York,Information not available,265.8682
2022,North Carolina,Eligible,243.0332
2022,North Carolina,Not eligible,262.9792
2022,North Carolina,Information not available,à
2022,North Dakota,Eligible,243.4511
2022,North Dakota,Not eligible,263.3710
2022,North Dakota,Information not available,à
2022,Ohio,Eligible,247.9253
2022,Ohio,Not eligible,273.2629
2022,Ohio,Information not available,à
2022,Oklahoma,Eligible,244.7408
2022,Oklahoma,Not eligible,259.5571
2022,Oklahoma,Information not available,à
2022,Oregon,Eligible,257.0518
2022,Oregon,Not eligible,à
2022,Oregon,Information not available,à
2022,Pennsylvania,Eligible,244.9820
2022,Pennsylvania,Not eligible,271.1858
2022,Pennsylvania,Information not available,à
2022,Rhode Island,Eligible,244.3177
2022,Rhode Island,Not eligible,271.5693
2022,Rhode Island,Information not available,à
2022,South Carolina,Eligible,243.9611
2022,South Carolina,Not eligible,268.3957
2022,South Carolina,Information not available,à
2022,South Dakota,Eligible,243.9084
2022,South Dakota,Not eligible,267.7609
2022,South Dakota,Information not available,à
2022,Tennessee,Eligible,242.9530
2022,Tennessee,Not eligible,262.9391
2022,Tennessee,Information not available,à
2022,Texas,Eligible,247.7620
2022,Texas,Not eligible,266.6106
2022,Texas,Information not available,à
2022,Utah,Eligible,251.8852
2022,Utah,Not eligible,270.6920
2022,Utah,Information not available,à
2022,Vermont,Eligible,252.5951
2022,Vermont,Not eligible,269.8457
2022,Vermont,Information not available,à
2022,Virginia,Eligible,242.2907
2022,Virginia,Not eligible,269.8472
2022,Virginia,Information not available,à
2022,Washington,Eligible,247.1954
2022,Washington,Not eligible,274.3883
2022,Washington,Information not available,à
2022,West Virginia,Eligible,239.7352
2022,West Virginia,Not eligible,258.1760
2022,West Virginia,Information not available,à
2022,Wisconsin,Eligible,246.9616
2022,Wisconsin,Not eligible,272.6096
2022,Wisconsin,Information not available,à
2022,Wyoming,Eligible,249.4623
2022,Wyoming,Not eligible,264.8104
2022,Wyoming,Information not available,à
2019,National,Eligible,249.5772
2019,National,Not eligible,274.9423
2019,National,Information not available,276.0807
2019,Alabama,Eligible,242.8245
2019,Alabama,Not eligible,263.9550
2019,Alabama,Information not available,à
2019,Alaska,Eligible,239.7229
2019,Alaska,Not eligible,264.1527
2019,Alaska,Information not available,à
2019,Arizona,Eligible,248.1781
2019,Arizona,Not eligible,272.2196
2019,Arizona,Information not available,281.4718
2019,Arkansas,Eligible,249.5714
2019,Arkansas,Not eligible,273.7237
2019,Arkansas,Information not available,à
2019,California,Eligible,247.6083
2019,California,Not eligible,275.7137
2019,California,Information not available,à
2019,Colorado,Eligible,249.5945
2019,Colorado,Not eligible,277.9877
2019,Colorado,Information not available,à
2019,Connecticut,Eligible,253.6334
2019,Connecticut,Not eligible,279.8705
2019,Connecticut,Information not available,à
2019,Delaware,Eligible,245.0595
2019,Delaware,Not eligible,265.0196
2019,Delaware,Information not available,à
2019,District of Columbia,Eligible,237.7724
2019,District of Columbia,Not eligible,276.9807
2019,District of Columbia,Information not available,à
2019,DoDEA,Eligible,à
2019,DoDEA,Not eligible,à
2019,DoDEA,Information not available,à
2019,Florida,Eligible,254.5599
2019,Florida,Not eligible,275.6207
2019,Florida,Information not available,à
2019,Georgia,Eligible,251.9713
2019,Georgia,Not eligible,278.3411
2019,Georgia,Information not available,à
2019,Hawaii,Eligible,245.4772
2019,Hawaii,Not eligible,267.1265
2019,Hawaii,Information not available,à
2019,Idaho,Eligible,254.7763
2019,Idaho,Not eligible,275.7136
2019,Idaho,Information not available,à
2019,Illinois,Eligible,251.3640
2019,Illinois,Not eligible,278.0021
2019,Illinois,Information not available,à
2019,Indiana,Eligible,255.1478
2019,Indiana,Not eligible,275.6501
2019,Indiana,Information not available,à
2019,Iowa,Eligible,246.0719
2019,Iowa,Not eligible,273.4911
2019,Iowa,Information not available,à
2019,Kansas,Eligible,251.2165
2019,Kansas,Not eligible,273.9553
2019,Kansas,Information not available,à
2019,Kentucky,Eligible,252.9967
2019,Kentucky,Not eligible,276.7506
2019,Kentucky,Information not available,à
2019,Louisiana,Eligible,249.3081
2019,Louisiana,Not eligible,273.4168
2019,Louisiana,Information not available,à
2019,Maine,Eligible,255.1556
2019,Maine,Not eligible,272.6775
2019,Maine,Information not available,à
2019,Maryland,Eligible,247.4223
2019,Maryland,Not eligible,276.3741
2019,Maryland,Information not available,à
2019,Massachusetts,Eligible,253.0715
2019,Massachusetts,Not eligible,280.7704
2019,Massachusetts,Information not available,à
2019,Michigan,Eligible,250.2968
2019,Michigan,Not eligible,273.9361
2019,Michigan,Information not available,à
2019,Minnesota,Eligible,246.8927
2019,Minnesota,Not eligible,273.1134
2019,Minnesota,Information not available,à
2019,Mississippi,Eligible,250.4978
2019,Mississippi,Not eligible,275.3850
2019,Mississippi,Information not available,à
2019,Missouri,Eligible,251.4275
2019,Missouri,Not eligible,275.0472
2019,Missouri,Information not available,à
2019,Montana,Eligible,253.4627
2019,Montana,Not eligible,273.3334
2019,Montana,Information not available,à
2019,Nebraska,Eligible,249.5593
2019,Nebraska,Not eligible,274.6302
2019,Nebraska,Information not available,à
2019,Nevada,Eligible,249.2417
2019,Nevada,Not eligible,270.7229
2019,Nevada,Information not available,à
2019,New Hampshire,Eligible,250.2757
2019,New Hampshire,Not eligible,274.6591
2019,New Hampshire,Information not available,258.3979
2019,New Jersey,Eligible,250.6468
2019,New Jersey,Not eligible,281.4127
2019,New Jersey,Information not available,à
2019,New Mexico,Eligible,244.2387
2019,New Mexico,Not eligible,271.8469
2019,New Mexico,Information not available,à
2019,New York,Eligible,250.1669
2019,New York,Not eligible,272.9734
2019,New York,Information not available,282.9000
2019,North Carolina,Eligible,249.3185
2019,North Carolina,Not eligible,272.5145
2019,North Carolina,Information not available,à
2019,North Dakota,Eligible,250.4826
2019,North Dakota,Not eligible,268.9655
2019,North Dakota,Information not available,à
2019,Ohio,Eligible,249.8090
2019,Ohio,Not eligible,280.6197
2019,Ohio,Information not available,à
2019,Oklahoma,Eligible,250.0360
2019,Oklahoma,Not eligible,270.3645
2019,Oklahoma,Information not available,à
2019,Oregon,Eligible,253.7687
2019,Oregon,Not eligible,276.2533
2019,Oregon,Information not available,à
2019,Pennsylvania,Eligible,249.8363
2019,Pennsylvania,Not eligible,276.0351
2019,Pennsylvania,Information not available,à
2019,Rhode Island,Eligible,244.8849
2019,Rhode Island,Not eligible,277.1467
2019,Rhode Island,Information not available,à
2019,South Carolina,Eligible,249.0159
2019,South Carolina,Not eligible,272.5790
2019,South Carolina,Information not available,à
2019,South Dakota,Eligible,248.1300
2019,South Dakota,Not eligible,268.7923
2019,South Dakota,Information not available,à
2019,Tennessee,Eligible,248.0176
2019,Tennessee,Not eligible,268.3807
2019,Tennessee,Information not available,à
2019,Texas,Eligible,245.8984
2019,Texas,Not eligible,269.8566
2019,Texas,Information not available,268.7095
2019,Utah,Eligible,254.0943
2019,Utah,Not eligible,274.6530
2019,Utah,Information not available,à
2019,Vermont,Eligible,256.7547
2019,Vermont,Not eligible,275.0625
2019,Vermont,Information not available,263.1985
2019,Virginia,Eligible,245.5955
2019,Virginia,Not eligible,271.5884
2019,Virginia,Information not available,à
2019,Washington,Eligible,249.3306
2019,Washington,Not eligible,281.7066
2019,Washington,Information not available,à
2019,West Virginia,Eligible,247.6189
2019,West Virginia,Not eligible,262.3961
2019,West Virginia,Information not available,à
2019,Wisconsin,Eligible,252.4312
2019,Wisconsin,Not eligible,278.2187
2019,Wisconsin,Information not available,à
2019,Wyoming,Eligible,252.8442
2019,Wyoming,Not eligible,270.9095
2019,Wyoming,Information not available,à
2017,National,Eligible,253.2830
2017,National,Not eligible,277.4589
2017,National,Information not available,279.9220
2017,Alabama,Eligible,247.2443
2017,Alabama,Not eligible,274.1743
2017,Alabama,Information not available,à
2017,Alaska,Eligible,246.2349
2017,Alaska,Not eligible,267.9251
2017,Alaska,Information not available,à
2017,Arizona,Eligible,253.7610
2017,Arizona,Not eligible,271.7800
2017,Arizona,Information not available,278.6295
2017,Arkansas,Eligible,252.0842
2017,Arkansas,Not eligible,272.0264
2017,Arkansas,Information not available,à
2017,California,Eligible,251.0089
2017,California,Not eligible,278.5473
2017,California,Information not available,254.0061
2017,Colorado,Eligible,254.1794
2017,Colorado,Not eligible,281.1164
2017,Colorado,Information not available,à
2017,Connecticut,Eligible,254.4218
2017,Connecticut,Not eligible,281.9402
2017,Connecticut,Information not available,à
2017,Delaware,Eligible,252.3353
2017,Delaware,Not eligible,267.8793
2017,Delaware,Information not available,à
2017,District of Columbia,Eligible,236.8677
2017,District of Columbia,Not eligible,277.0715
2017,District of Columbia,Information not available,à
2017,DoDEA,Eligible,à
2017,DoDEA,Not eligible,à
2017,DoDEA,Information not available,à
2017,Florida,Eligible,257.4352
2017,Florida,Not eligible,278.1675
2017,Florida,Information not available,à
2017,Georgia,Eligible,255.9921
2017,Georgia,Not eligible,279.7381
2017,Georgia,Information not available,275.5444
2017,Hawaii,Eligible,249.9137
2017,Hawaii,Not eligible,270.0542
2017,Hawaii,Information not available,à
