State,Year,NAEP,US NAEP
United States,2022,235.9563,235.9563
Alabama,2022,230.0404,235.9563
Alaska,2022,225.9226,235.9563
Arizona,2022,231.9806,235.9563
Arkansas,2022,228.1393,235.9563
California,2022,230.3594,235.9563
Colorado,2022,236.1728,235.9563
Connecticut,2022,236.3563,235.9563
Delaware,2022,225.5786,235.9563
District of Columbia,2022,222.6462,235.9563
DoDEA,2022,249.6011,235.9563
Florida,2022,240.8305,235.9563
Georgia,2022,234.9095,235.9563
Hawaii,2022,236.5037,235.9563
Idaho,2022,236.1952,235.9563
Illinois,2022,237.0758,235.9563
Indiana,2022,239.1533,235.9563
Iowa,2022,239.8334,235.9563
Kansas,2022,235.0332,235.9563
Kentucky,2022,233.8035,235.9563
Louisiana,2022,228.5701,235.9563
Maine,2022,233.0733,235.9563
Maryland,2022,228.5867,235.9563
Massachusetts,2022,241.7318,235.9563
Michigan,2022,232.1974,235.9563
Minnesota,2022,239.0077,235.9563
Mississippi,2022,233.559,235.9563
Missouri,2022,232.3793,235.9563
Montana,2022,238.5189,235.9563
Nebraska,2022,241.5587,235.9563
Nevada,2022,229.3482,235.9563
New Hampshire,2022,239.3942,235.9563
New Jersey,2022,239.2306,235.9563
New Mexico,2022,221.2536,235.9563
New York,2022,227.0901,235.9563
North Carolina,2022,235.9576,235.9563
North Dakota,2022,240.0811,235.9563
Ohio,2022,237.7589,235.9563
Oklahoma,2022,229.4876,235.9563
Oregon,2022,228.1917,235.9563
Pennsylvania,2022,237.5388,235.9563
Puerto Rico,2022,178.2477,235.9563
Rhode Island,2022,234.1299,235.9563
South Carolina,2022,234.2236,235.9563
South Dakota,2022,239.0067,235.9563
Tennessee,2022,236.3541,235.9563
Texas,2022,238.5758,235.9563
Utah,2022,239.6141,235.9563
Vermont,2022,234.2944,235.9563
Virginia,2022,236.3565,235.9563
Washington,2022,234.9328,235.9563
West Virginia,2022,225.9676,235.9563
Wisconsin,2022,240.2578,235.9563
Wyoming,2022,243.1457,235.9563
United States,2019,240.5261,240.5261
Alabama,2019,229.651,240.5261
Alaska,2019,232.3075,240.5261
Arizona,2019,237.6102,240.5261
Arkansas,2019,233.2521,240.5261
California,2019,234.722,240.5261
Colorado,2019,241.8656,240.5261
Connecticut,2019,243.2595,240.5261
Delaware,2019,239.3197,240.5261
District of Columbia,2019,234.6352,240.5261
DoDEA,2019,250.4786,240.5261
Florida,2019,245.9576,240.5261
Georgia,2019,237.6485,240.5261
Hawaii,2019,238.5673,240.5261
Idaho,2019,241.8987,240.5261
Illinois,2019,237.3973,240.5261
Indiana,2019,244.8831,240.5261
Iowa,2019,240.6887,240.5261
Kansas,2019,239.4398,240.5261
Kentucky,2019,239.3107,240.5261
Louisiana,2019,231.2974,240.5261
Maine,2019,240.7576,240.5261
Maryland,2019,238.5625,240.5261
Massachusetts,2019,247.3194,240.5261
Michigan,2019,236.1516,240.5261
Minnesota,2019,248.4095,240.5261
Mississippi,2019,240.7069,240.5261
Missouri,2019,238.4102,240.5261
Montana,2019,241.1132,240.5261
Nebraska,2019,243.771,240.5261
Nevada,2019,235.6263,240.5261
New Hampshire,2019,244.5592,240.5261
New Jersey,2019,245.9316,240.5261
New Mexico,2019,231.1103,240.5261
New York,2019,236.7307,240.5261
North Carolina,2019,241.4081,240.5261
North Dakota,2019,242.9284,240.5261
Ohio,2019,241.1405,240.5261
Oklahoma,2019,237.1954,240.5261
Oregon,2019,236.349,240.5261
Pennsylvania,2019,243.9369,240.5261
Puerto Rico,2019,184.6787,240.5261
Rhode Island,2019,239.344,240.5261
South Carolina,2019,236.7545,240.5261
South Dakota,2019,241.2963,240.5261
Tennessee,2019,239.6985,240.5261
Texas,2019,243.6165,240.5261
Utah,2019,243.789,240.5261
Vermont,2019,238.8999,240.5261
Virginia,2019,246.8895,240.5261
Washington,2019,239.5108,240.5261
West Virginia,2019,231.4961,240.5261
Wisconsin,2019,241.6712,240.5261
Wyoming,2019,245.8434,240.5261
United States,2017,239.7222,239.7222
Alabama,2017,232.1707,239.7222
Alaska,2017,230.4563,239.7222
Arizona,2017,234.4358,239.7222
Arkansas,2017,233.8481,239.7222
California,2017,232.2629,239.7222
Colorado,2017,240.695,239.7222
Connecticut,2017,239.2377,239.7222
Delaware,2017,236.1276,239.7222
District of Columbia,2017,231.3205,239.7222
DoDEA,2017,248.5919,239.7222
Florida,2017,246.3677,239.7222
Georgia,2017,236.3836,239.7222
Hawaii,2017,237.9198,239.7222
Idaho,2017,239.9675,239.7222
Illinois,2017,238.1189,239.7222
Indiana,2017,246.5138,239.7222
Iowa,2017,243.1075,239.7222
Kansas,2017,241.2128,239.7222
Kentucky,2017,239.1783,239.7222
Louisiana,2017,228.9717,239.7222
Maine,2017,239.899,239.7222
Maryland,2017,240.6013,239.7222
Massachusetts,2017,249.1027,239.7222
Michigan,2017,235.5555,239.7222
