State,Year,NAEP,US NAEP
United States,2022,259.5209,259.5209
Alabama,2022,248.2785,259.5209
Alaska,2022,254.3128,259.5209
Arizona,2022,257.3425,259.5209
Arkansas,2022,258.6670,259.5209
California,2022,255.7405,259.5209
Colorado,2022,254.2488,259.5209
Connecticut,2022,255.8014,259.5209
Delaware,2022,245.2893,259.5209
District of Columbia,2022,250.1525,259.5209
DoDEA,2022,à,259.5209
Florida,2022,261.4096,259.5209
Georgia,2022,259.9189,259.5209
Hawaii,2022,258.6417,259.5209
Idaho,2022,268.6007,259.5209
Illinois,2022,259.1220,259.5209
Indiana,2022,265.3378,259.5209
Iowa,2022,257.9748,259.5209
Kansas,2022,257.1493,259.5209
Kentucky,2022,258.9618,259.5209
Louisiana,2022,257.2014,259.5209
Maine,2022,258.6376,259.5209
Maryland,2022,249.7322,259.5209
Massachusetts,2022,263.3892,259.5209
Michigan,2022,258.5261,259.5209
Minnesota,2022,258.3449,259.5209
Mississippi,2022,259.7690,259.5209
Missouri,2022,256.4590,259.5209
Montana,2022,264.7099,259.5209
Nebraska,2022,263.5923,259.5209
Nevada,2022,265.3319,259.5209
New Hampshire,2022,261.6897,259.5209
New Jersey,2022,258.9714,259.5209
New Mexico,2022,253.8172,259.5209
New York,2022,261.8730,259.5209
North Carolina,2022,258.9856,259.5209
North Dakota,2022,263.0817,259.5209
Ohio,2022,259.3681,259.5209
Oklahoma,2022,256.1003,259.5209
Oregon,2022,270.2182,259.5209
Pennsylvania,2022,258.5289,259.5209
Rhode Island,2022,254.3115,259.5209
South Carolina,2022,257.3574,259.5209
South Dakota,2022,262.2972,259.5209
Tennessee,2022,251.5425,259.5209
Texas,2022,263.5218,259.5209
Utah,2022,265.5807,259.5209
Vermont,2022,261.7927,259.5209
Virginia,2022,260.4433,259.5209
Washington,2022,259.5513,259.5209
West Virginia,2022,250.7795,259.5209
Wisconsin,2022,263.1175,259.5209
Wyoming,2022,269.0423,259.5209
United States,2019,266.2535,266.2535
Alabama,2019,253.7466,266.2535
Alaska,2019,259.9584,266.2535
Arizona,2019,269.5505,266.2535
Arkansas,2019,263.4459,266.2535
California,2019,262.2697,266.2535
Colorado,2019,265.1412,266.2535
Connecticut,2019,263.3522,266.2535
Delaware,2019,259.0358,266.2535
District of Columbia,2019,257.0404,266.2535
DoDEA,2019,à,266.2535
Florida,2019,267.0298,266.2535
Georgia,2019,265.3825,266.2535
Hawaii,2019,262.2405,266.2535
Idaho,2019,271.4203,266.2535
Illinois,2019,268.8943,266.2535
Indiana,2019,271.9475,266.2535
Iowa,2019,266.6566,266.2535
Kansas,2019,269.3256,266.2535
Kentucky,2019,266.9114,266.2535
Louisiana,2019,261.8420,266.2535
Maine,2019,267.8731,266.2535
Maryland,2019,259.6256,266.2535
Massachusetts,2019,272.3778,266.2535
Michigan,2019,264.8536,266.2535
Minnesota,2019,269.6333,266.2535
Mississippi,2019,266.5946,266.2535
Missouri,2019,267.2300,266.2535
Montana,2019,268.9711,266.2535
Nebraska,2019,269.5325,266.2535
Nevada,2019,263.6298,266.2535
New Hampshire,2019,270.1813,266.2535
New Jersey,2019,267.7380,266.2535
New Mexico,2019,261.6184,266.2535
New York,2019,266.4261,266.2535
North Carolina,2019,268.3138,266.2535
North Dakota,2019,268.3505,266.2535
Ohio,2019,265.3333,266.2535
Oklahoma,2019,267.3853,266.2535
Oregon,2019,267.1867,266.2535
Pennsylvania,2019,264.5717,266.2535
Rhode Island,2019,256.6945,266.2535
South Carolina,2019,262.8566,266.2535
South Dakota,2019,270.3725,266.2535
Tennessee,2019,262.8445,266.2535
Texas,2019,269.8564,266.2535
Utah,2019,266.4784,266.2535
Vermont,2019,271.7626,266.2535
Virginia,2019,269.6362,266.2535
Washington,2019,268.3295,266.2535
West Virginia,2019,261.9075,266.2535
Wisconsin,2019,269.4834,266.2535
Wyoming,2019,272.8763,266.2535
United States,2017,266.9527,266.9527
Alabama,2017,257.5647,266.9527
Alaska,2017,261.5140,266.9527
Arizona,2017,269.5953,266.9527
Arkansas,2017,263.2549,266.9527
California,2017,261.5649,266.9527
Colorado,2017,267.7694,266.9527
Connecticut,2017,263.6491,266.9527
Delaware,2017,265.3270,266.9527
District of Columbia,2017,254.2418,266.9527
DoDEA,2017,à,266.9527
Florida,2017,268.7281,266.9527
Georgia,2017,267.4498,266.9527
Hawaii,2017,267.9581,266.9527
Idaho,2017,270.3238,266.9527
Illinois,2017,266.6353,266.9527
Indiana,2017,273.1110,266.9527
Iowa,2017,269.8580,266.9527
Kansas,2017,270.4814,266.9527
Kentucky,2017,265.3394,266.9527
Louisiana,2017,258.3587,266.9527
Maine,2017,269.4845,266.9527
Maryland,2017,261.1308,266.9527
Massachusetts,2017,278.1429,266.9527
Michigan,2017,261.1917,266.9527
Minnesota,2017,273.7701,266.9527
Mississippi,2017,263.9216,266.9527
Missouri,2017,267.6537,266.9527
Montana,2017,274.0237,266.9527
Nebraska,2017,272.2376,266.9527
Nevada,2017,263.5143,266.9527
New Hampshire,2017,273.2025,266.9527
New Jersey,2017,269.4997,266.9527
New Mexico,2017,263.0742,266.9527
New York,2017,268.5672,266.9527
North Carolina,2017,265.0368,266.9527
North Dakota,2017,269.1655,266.9527
Ohio,2017,266.9765,266.9527
Oklahoma,2017,264.8864,266.9527
Oregon,2017,271.4317,266.9527
Pennsylvania,2017,269.2390,266.9527
Rhode Island,2017,260.0762,266.9527
South Carolina,2017,262.7977,266.9527
South Dakota,2017,269.0466,266.9527
Tennessee,2017,268.0082,266.9527
Texas,2017,270.9094,266.9527
Utah,2017,270.1288,266.9527
Vermont,2017,271.5529,266.9527
Virginia,2017,271.5779,266.9527
Washington,2017,271.8012,266.9527
West Virginia,2017,268.3058,266.9527
Wisconsin,2017,267.8898,266.9527
Wyoming,2017,276.2795,266.9527
United States,2015,268.0228,268.0228
Alabama,2015,254.3312,268.0228
Alaska,2015,266.1539,268.0228
Arizona,2015,272.6374,268.0228
Arkansas,2015,265.8544,268.0228
California,2015,263.7430,268.0228
Colorado,2015,268.4535,268.0228
Connecticut,2015,261.1847,268.0228
Delaware,2015,266.6474,268.0228
District of Columbia,2015,253.7278,268.0228
DoDEA,2015,à,268.0228
Florida,2015,265.6771,268.0228
Georgia,2015,266.8831,268.0228
Hawaii,2015,269.4717,268.0228
Idaho,2015,272.0131,268.0228
Illinois,2015,269.1040,268.0228
