State,Year,NAEP,US NAEP
United States,2022,247.9898,247.9898
Alabama,2022,238.4019,247.9898
Alaska,2022,235.5266,247.9898
Arizona,2022,247.2441,247.9898
Arkansas,2022,248.7210,247.9898
California,2022,248.1208,247.9898
Colorado,2022,245.4182,247.9898
Connecticut,2022,248.1431,247.9898
Delaware,2022,241.2989,247.9898
District of Columbia,2022,240.5373,247.9898
DoDEA,2022,à,247.9898
Florida,2022,252.5069,247.9898
Georgia,2022,249.8300,247.9898
Hawaii,2022,246.3090,247.9898
Idaho,2022,253.5712,247.9898
Illinois,2022,248.0133,247.9898
Indiana,2022,248.9958,247.9898
Iowa,2022,245.4581,247.9898
Kansas,2022,242.6676,247.9898
Kentucky,2022,248.8349,247.9898
Louisiana,2022,249.1921,247.9898
Maine,2022,241.7410,247.9898
Maryland,2022,242.5525,247.9898
Massachusetts,2022,253.6122,247.9898
Michigan,2022,246.3666,247.9898
Minnesota,2022,241.5046,247.9898
Mississippi,2022,247.2945,247.9898
Missouri,2022,244.0090,247.9898
Montana,2022,248.7099,247.9898
Nebraska,2022,247.5684,247.9898
Nevada,2022,255.2313,247.9898
New Hampshire,2022,252.4734,247.9898
New Jersey,2022,250.9712,247.9898
New Mexico,2022,242.3596,247.9898
New York,2022,250.7269,247.9898
North Carolina,2022,243.0332,247.9898
North Dakota,2022,243.4511,247.9898
Ohio,2022,247.9253,247.9898
Oklahoma,2022,244.7408,247.9898
Oregon,2022,257.0518,247.9898
Pennsylvania,2022,244.9820,247.9898
Rhode Island,2022,244.3177,247.9898
South Carolina,2022,243.9611,247.9898
South Dakota,2022,243.9084,247.9898
Tennessee,2022,242.9530,247.9898
Texas,2022,247.7620,247.9898
Utah,2022,251.8852,247.9898
Vermont,2022,252.5951,247.9898
Virginia,2022,242.2907,247.9898
Washington,2022,247.1954,247.9898
West Virginia,2022,239.7352,247.9898
Wisconsin,2022,246.9616,247.9898
Wyoming,2022,249.4623,247.9898
United States,2019,249.5772,249.5772
Alabama,2019,242.8245,249.5772
Alaska,2019,239.7229,249.5772
Arizona,2019,248.1781,249.5772
Arkansas,2019,249.5714,249.5772
California,2019,247.6083,249.5772
Colorado,2019,249.5945,249.5772
Connecticut,2019,253.6334,249.5772
Delaware,2019,245.0595,249.5772
District of Columbia,2019,237.7724,249.5772
DoDEA,2019,à,249.5772
Florida,2019,254.5599,249.5772
Georgia,2019,251.9713,249.5772
Hawaii,2019,245.4772,249.5772
Idaho,2019,254.7763,249.5772
Illinois,2019,251.3640,249.5772
Indiana,2019,255.1478,249.5772
