State,Year,NAEP,US NAEP
United States,2022,260.46922,260.46922
Alabama,2022,250.89593,260.46922
Alaska,2022,252.55324,260.46922
Arizona,2022,258.52899,260.46922
Arkansas,2022,255.04244,260.46922
California,2022,258.78518,260.46922
Colorado,2022,263.45456,260.46922
Connecticut,2022,263.80736,260.46922
Delaware,2022,253.00718,260.46922
District of Columbia,2022,249.70666,260.46922
DoDEA,2022,282.30993,260.46922
Florida,2022,259.63141,260.46922
Georgia,2022,259.98625,260.46922
Hawaii,2022,258.98352,260.46922
Idaho,2022,263.53526,260.46922
Illinois,2022,261.88598,260.46922
Indiana,2022,260.50424,260.46922
Iowa,2022,259.76747,260.46922
Kansas,2022,256.18208,260.46922
Kentucky,2022,258.49199,260.46922
Louisiana,2022,256.64573,260.46922
Maine,2022,256.71163,260.46922
Maryland,2022,259.29356,260.46922
Massachusetts,2022,268.75328,260.46922
Michigan,2022,258.51494,260.46922
Minnesota,2022,260.46946,260.46922
Mississippi,2022,252.9289,260.46922
Missouri,2022,257.62533,260.46922
Montana,2022,261.18486,260.46922
Nebraska,2022,259.31324,260.46922
Nevada,2022,258.88938,260.46922
New Hampshire,2022,263.18216,260.46922
New Jersey,2022,269.78359,260.46922
New Mexico,2022,247.79859,260.46922
New York,2022,261.65685,260.46922
North Carolina,2022,256.15637,260.46922
North Dakota,2022,258.08357,260.46922
Ohio,2022,261.99738,260.46922
Oklahoma,2022,251.29553,260.46922
Oregon,2022,257.05177,260.46922
Pennsylvania,2022,259.09922,260.46922
Rhode Island,2022,259.39259,260.46922
South Carolina,2022,253.86937,260.46922
South Dakota,2022,261.83946,260.46922
Tennessee,2022,257.55977,260.46922
Texas,2022,255.17364,260.46922
Utah,2022,265.21854,260.46922
Vermont,2022,263.77922,260.46922
Virginia,2022,259.55131,260.46922
Washington,2022,261.53915,260.46922
West Virginia,2022,249.40471,260.46922
Wisconsin,2022,262.22978,260.46922
Wyoming,2022,260.76745,260.46922
United States,2019,263.14966,263.14966
Alabama,2019,253.3986,263.14966
