Year,Jurisdiction,All students,Average scale score
2022,National,All students,260.46922
2022,Alabama,All students,250.89593
2022,Alaska,All students,252.55324
2022,Arizona,All students,258.52899
2022,Arkansas,All students,255.04244
2022,California,All students,258.78518
2022,Colorado,All students,263.45456
2022,Connecticut,All students,263.80736
2022,Delaware,All students,253.00718
2022,District of Columbia,All students,249.70666
2022,DoDEA,All students,282.30993
2022,Florida,All students,259.63141
2022,Georgia,All students,259.98625
2022,Hawaii,All students,258.98352
2022,Idaho,All students,263.53526
2022,Illinois,All students,261.88598
2022,Indiana,All students,260.50424
2022,Iowa,All students,259.76747
2022,Kansas,All students,256.18208
2022,Kentucky,All students,258.49199
2022,Louisiana,All students,256.64573
2022,Maine,All students,256.71163
2022,Maryland,All students,259.29356
2022,Massachusetts,All students,268.75328
2022,Michigan,All students,258.51494
2022,Minnesota,All students,260.46946
2022,Mississippi,All students,252.92890
2022,Missouri,All students,257.62533
2022,Montana,All students,261.18486
2022,Nebraska,All students,259.31324
2022,Nevada,All students,258.88938
2022,New Hampshire,All students,263.18216
2022,New Jersey,All students,269.78359
2022,New Mexico,All students,247.79859
2022,New York,All students,261.65685
2022,North Carolina,All students,256.15637
2022,North Dakota,All students,258.08357
2022,Ohio,All students,261.99738
2022,Oklahoma,All students,251.29553
2022,Oregon,All students,257.05177
2022,Pennsylvania,All students,259.09922
2022,Rhode Island,All students,259.39259
2022,South Carolina,All students,253.86937
2022,South Dakota,All students,261.83946
2022,Tennessee,All students,257.55977
2022,Texas,All students,255.17364
2022,Utah,All students,265.21854
2022,Vermont,All students,263.77922
2022,Virginia,All students,259.55131
2022,Washington,All students,261.53915
2022,West Virginia,All students,249.40471
2022,Wisconsin,All students,262.22978
2022,Wyoming,All students,260.76745
2019,National,All students,263.14966
2019,Alabama,All students,253.39860
2019,Alaska,All students,252.38509
2019,Arizona,All students,259.48035
2019,Arkansas,All students,258.78275
2019,California,All students,258.82973
2019,Colorado,All students,267.30771
2019,Connecticut,All students,269.71911
2019,Delaware,All students,259.67940
2019,District of Columbia,All students,249.81440
2019,DoDEA,All students,280.28148
2019,Florida,All students,263.35256
2019,Georgia,All students,262.38610
2019,Hawaii,All students,258.15913
2019,Idaho,All students,266.48282
2019,Illinois,All students,264.69566
2019,Indiana,All students,265.95500
2019,Iowa,All students,262.32903
2019,Kansas,All students,262.81905
2019,Kentucky,All students,262.96354
2019,Louisiana,All students,257.42181
2019,Maine,All students,265.16866
2019,Maryland,All students,264.38902
2019,Massachusetts,All students,273.11303
2019,Michigan,All students,262.57989
2019,Minnesota,All students,263.81336
2019,Mississippi,All students,256.38048
2019,Missouri,All students,263.29202
2019,Montana,All students,264.83169
2019,Nebraska,All students,263.98911
2019,Nevada,All students,258.07506
2019,New Hampshire,All students,267.95051
2019,New Jersey,All students,270.35794
2019,New Mexico,All students,251.69959
2019,New York,All students,261.75214
2019,North Carolina,All students,262.53028
2019,North Dakota,All students,263.23280
2019,Ohio,All students,267.04905
2019,Oklahoma,All students,258.19713
2019,Oregon,All students,263.72167
2019,Pennsylvania,All students,264.18056
2019,Rhode Island,All students,262.14616
2019,South Carolina,All students,258.97652
2019,South Dakota,All students,262.77086
2019,Tennessee,All students,262.46271
2019,Texas,All students,255.74240
2019,Utah,All students,267.41796
2019,Vermont,All students,268.48111
2019,Virginia,All students,261.79812
2019,Washington,All students,266.27704
2019,West Virginia,All students,255.62413
2019,Wisconsin,All students,267.38382
2019,Wyoming,All students,264.64163
2017,National,All students,266.57795
2017,Alabama,All students,257.68652
2017,Alaska,All students,257.66750
2017,Arizona,All students,262.95746
2017,Arkansas,All students,259.95580
2017,California,All students,262.52063
2017,Colorado,All students,270.33869
2017,Connecticut,All students,272.53771
2017,Delaware,All students,263.08909
2017,District of Columbia,All students,246.78776
2017,DoDEA,All students,280.49913
2017,Florida,All students,266.55337
2017,Georgia,All students,266.33044
2017,Hawaii,All students,260.98232
2017,Idaho,All students,269.67310
2017,Illinois,All students,266.92855
2017,Indiana,All students,272.02388
2017,Iowa,All students,267.67568
