State,Year,Salary,CPI,Salary Adj
Alabama,2002,37194,178.1666667,54933.81573
Alabama,2003,38246,182.0916667,55269.97705
Alabama,2004,38325,186.1083333,54188.81802
Alabama,2005,38186,191.7000000,52417.38968
Alabama,2006,40347,198.9416667,53367.74233
Alabama,2007,43389,204.1120000,55937.67833
Alabama,2008,46604,211.6840000,57933.33031
Alabama,2009,46879,214.6485833,57470.32418
Alabama,2010,47571,216.7613333,57750.24109
Alabama,2011,47803,221.0613333,56903.07056
Alabama,2012,48003,227.5535000,55510.89055
Alabama,2013,47949,231.3886667,54529.4108
Alabama,2014,48720,234.9890000,54557.3266
Alabama,2015,48611,236.6704167,54048.53346
Alabama,2016,48518,238.2429167,53589.07088
Alabama,2017,50391,242.6751667,54641.2939
Alabama,2018,50568,248.1315000,53627.45793
Alabama,2019,52009,253.2578333,54039.20495
Alabama,2020,54095,257.2727500,55329.49048
Alabama,2021,54271,263.1439167,54271
Alaska,2002,49418,178.1666667,72988.0977
Alaska,2003,49685,182.0916667,71800.68006
Alaska,2004,51736,186.1083333,73151.01602
Alaska,2005,52424,191.7000000,71961.69373
Alaska,2006,53553,198.9416667,70835.56907
Alaska,2007,54658,204.1120000,70465.82365
Alaska,2008,56758,211.6840000,70555.74546
Alaska,2009,58395,214.6485833,71588.1222
Alaska,2010,59672,216.7613333,72440.6127
Alaska,2011,62918,221.0613333,74895.45412
Alaska,2012,62425,227.5535000,72188.55785
Alaska,2013,65468,231.3886667,74452.67819
Alaska,2014,65891,234.9890000,73785.64875
Alaska,2015,66755,236.6704167,74222.08658
Alaska,2016,67443,238.2429167,74492.1
Alaska,2017,68138,242.6751667,73885.18751
Alaska,2018,69682,248.1315000,73897.89044
Alaska,2019,70277,253.2578333,73020.30815
Alaska,2020,72010,257.2727500,73653.32488
Alaska,2021,72861,263.1439167,72861
Arizona,2002,39973,178.1666667,59038.27005
Arizona,2003,40894,182.0916667,59096.6491
Arizona,2004,41843,186.1083333,59163.01924
Arizona,2005,42905,191.7000000,58895.09517
Arizona,2006,44672,198.9416667,59088.50188
Arizona,2007,45941,204.1120000,59227.75082
Arizona,2008,45772,211.6840000,56899.07293
Arizona,2009,46358,214.6485833,56831.61519
Arizona,2010,46952,216.7613333,56998.78749
Arizona,2011,47553,221.0613333,56605.47903
Arizona,2012,48691,227.5535000,56306.49692
Arizona,2013,49885,231.3886667,56731.10301
Arizona,2014,45335,234.9890000,50766.75701
Arizona,2015,45406,236.6704167,50485.02829
Arizona,2016,47218,238.2429167,52153.1957
Arizona,2017,47403,242.6751667,51401.26719
Arizona,2018,48723,248.1315000,51670.83201
Arizona,2019,50353,253.2578333,52318.56192
Arizona,2020,50782,257.2727500,51940.88521
Arizona,2021,52157,263.1439167,52157
Arkansas,2002,36962,178.1666667,54591.16248
Arkansas,2003,37753,182.0916667,54557.53395
Arkansas,2004,39314,186.1083333,55587.19352
Arkansas,2005,40495,191.7000000,55586.92178
Arkansas,2006,42768,198.9416667,56570.04496
Arkansas,2007,44245,204.1120000,57041.24497
Arkansas,2008,45773,211.6840000,56900.31603
Arkansas,2009,47472,214.6485833,58197.30006
Arkansas,2010,46700,216.7613333,56692.86454
Arkansas,2011,46500,221.0613333,55352.02353
Arkansas,2012,46314,227.5535000,53557.72316
Arkansas,2013,46631,231.3886667,53030.53151
Arkansas,2014,47319,234.9890000,52988.46751
Arkansas,2015,47823,236.6704167,53172.38928
Arkansas,2016,48218,238.2429167,53257.71507
Arkansas,2017,48304,242.6751667,52378.2632
Arkansas,2018,50544,248.1315000,53602.00589
Arkansas,2019,49438,253.2578333,51367.84431
Arkansas,2020,50456,257.2727500,51607.44564
Arkansas,2021,50992,263.1439167,50992
California,2002,54348,178.1666667,80269.47942
California,2003,56283,182.0916667,81335.56759
California,2004,56444,186.1083333,79807.79241
California,2005,57876,191.7000000,79445.5781
California,2006,59825,198.9416667,79131.66245
California,2007,63640,204.1120000,82045.53802
California,2008,64424,211.6840000,80085.33327
California,2009,68093,214.6485833,83477.18135
California,2010,68203,216.7613333,82797.07581
California,2011,67871,221.0613333,80791.3374
California,2012,68531,227.5535000,79249.5644
California,2013,69324,231.3886667,78837.86679
California,2014,71396,234.9890000,79950.22352
California,2015,72535,236.6704167,80648.62632
California,2016,77179,238.2429167,85245.7006
California,2017,79128,242.6751667,85802.15324
California,2018,80680,248.1315000,85561.28987
California,2019,83059,253.2578333,86301.26179
California,2020,84531,257.2727500,86460.06396
California,2021,85892,263.1439167,85892
Colorado,2002,40659,178.1666667,60051.46029
Colorado,2003,41274.69994,182.0916667,59646.80537
Colorado,2004,43319,186.1083333,61249.97802
Colorado,2005,43949,191.7000000,60328.17941
Colorado,2006,44439,198.9416667,58780.30836
Colorado,2007,45833,204.1120000,59088.51578
Colorado,2008,47248,211.6840000,58733.88529
Colorado,2009,48487,214.6485833,59441.61797
Colorado,2010,49202,216.7613333,59730.24242
Colorado,2011,49228,221.0613333,58599.34225
Colorado,2012,49049,227.5535000,56720.48977
Colorado,2013,49844,231.3886667,56684.47626
Colorado,2014,49615,234.9890000,55559.55992
Colorado,2015,49828,236.6704167,55401.66475
Colorado,2016,46155,238.2429167,50979.09161
Colorado,2017,51808,242.6751667,56177.8126
Colorado,2018,52701,248.1315000,55889.50839
Colorado,2019,54935,253.2578333,57079.42326
Colorado,2020,57706,257.2727500,59022.89634
Colorado,2021,60611,263.1439167,60611
Connecticut,2002,53551,178.1666667,79092.34732
Connecticut,2003,54362,182.0916667,78559.49621
Connecticut,2004,57337,186.1083333,81070.43075
Connecticut,2005,57737,191.7000000,79254.77473
Connecticut,2006,59304,198.9416667,78442.52587
Connecticut,2007,60822,204.1120000,78412.53478
Connecticut,2008,61976,211.6840000,77042.22983
Connecticut,2009,63152,214.6485833,77419.86631
Connecticut,2010,64350,216.7613333,78119.61099
Connecticut,2011,69165,221.0613333,82331.67113
Connecticut,2012,69465,227.5535000,80329.64631
Connecticut,2013,69397,231.3886667,78920.88514
Connecticut,2014,70583,234.9890000,79039.81493
Connecticut,2015,71709,236.6704167,79730.23154
Connecticut,2016,72013,238.2429167,79539.75353
Connecticut,2017,73147,242.6751667,79316.67808
Connecticut,2018,74517,248.1315000,79025.41692
Connecticut,2019,76465,253.2578333,79449.86073
Connecticut,2020,78427,257.2727500,80216.76587
Connecticut,2021,79742,263.1439167,79742
Delaware,2002,48363,178.1666667,71429.91155
Delaware,2003,50772,182.0916667,73371.52315
Delaware,2004,49366,186.1083333,69800.00496
Delaware,2005,50595,191.7000000,69451.05093
Delaware,2006,54264,198.9416667,71776.02225
Delaware,2007,54680,204.1120000,70494.18635
Delaware,2008,55994,211.6840000,69606.01873
Delaware,2009,56667,214.6485833,69469.71694
Delaware,2010,57080,216.7613333,69293.97662
Delaware,2011,57934,221.0613333,68962.66949
Delaware,2012,58800,227.5535000,67996.59113
Delaware,2013,59679,231.3886667,67869.20911
Delaware,2014,59305,234.9890000,66410.55529
Delaware,2015,59195,236.6704167,65816.43945
Delaware,2016,59960,238.2429167,66226.98154
Delaware,2017,60214,242.6751667,65292.82751
Delaware,2018,61795,248.1315000,65533.71229
Delaware,2019,63662,253.2578333,66147.08735
Delaware,2020,64853,257.2727500,66332.99651
Delaware,2021,65798,263.1439167,65798
District of Columbia,2002,47049,178.1666667,69489.1944
District of Columbia,2003,50763,182.0916667,73358.51709
District of Columbia,2004,57009,186.1083333,80606.66213
District of Columbia,2005,58456,191.7000000,80241.73601
District of Columbia,2006,59000,198.9416667,78040.4193
District of Columbia,2007,59000,204.1120000,76063.58805
District of Columbia,2008,60628,211.6840000,75366.53398
District of Columbia,2009,62557,214.6485833,76690.43857
District of Columbia,2010,64548,216.7613333,78359.97902
District of Columbia,2011,66601,221.0613333,79279.57246
District of Columbia,2012,68720,227.5535000,79468.12487
District of Columbia,2013,70906,231.3886667,80636.97684
District of Columbia,2014,73162,234.9890000,81927.81463
District of Columbia,2015,75490,236.6704167,83934.16697
District of Columbia,2016,75810,238.2429167,83733.61358
District of Columbia,2017,75692,242.6751667,82076.33939
District of Columbia,2018,76486,248.1315000,81113.54508
District of Columbia,2019,78477,253.2578333,81540.40045
District of Columbia,2020,79350,257.2727500,81160.82946
District of Columbia,2021,80659,263.1439167,80659
Florida,2002,39275,178.1666667,58007.35637
Florida,2003,39465,182.0916667,57031.5757
Florida,2004,40604,186.1083333,57411.16156
Florida,2005,41590,191.7000000,57090.01301
Florida,2006,43302,198.9416667,57276.37689
Florida,2007,45308,204.1120000,58411.67877
Florida,2008,46930,211.6840000,58338.58019
Florida,2009,46921,214.6485833,57521.8132
Florida,2010,46708,216.7613333,56702.57638
Florida,2011,45732,221.0613333,54437.82237
Florida,2012,46479,227.5535000,53748.52992
Florida,2013,46598,231.3886667,52993.00266
Florida,2014,47780,234.9890000,53504.70166
Florida,2015,48992,236.6704167,54472.15139
Florida,2016,49199,238.2429167,54341.24858
Florida,2017,47267,242.6751667,51253.79609
Florida,2018,48168,248.1315000,51082.25347
Florida,2019,48314,253.2578333,50199.96824
Florida,2020,49102,257.2727500,50222.54629
Florida,2021,49583,263.1439167,49583
Georgia,2002,44073,178.1666667,65093.7802
Georgia,2003,45533,182.0916667,65800.55077
Georgia,2004,45988,186.1083333,65023.75376
Georgia,2005,46526,191.7000000,63865.59138
Georgia,2006,48300,198.9416667,63887.32631
Georgia,2007,49905,204.1120000,64338.19257
Georgia,2008,51560,211.6840000,64094.12305
Georgia,2009,52879,214.6485833,64825.898
Georgia,2010,53112,216.7613333,64476.9041
Georgia,2011,52815,221.0613333,62869.18544
Georgia,2012,52938,227.5535000,61217.7473
Georgia,2013,52880,231.3886667,60137.12994
Georgia,2014,52924,234.9890000,59265.02366
Georgia,2015,53382,236.6704167,59353.20839
Georgia,2016,54190,238.2429167,59853.90476
Georgia,2017,55532,242.6751667,60215.91818
Georgia,2018,56329,248.1315000,59737.00913
Georgia,2019,57095,253.2578333,59323.74025
Georgia,2020,60578,257.2727500,61960.43764
Georgia,2021,60553,263.1439167,60553
Hawaii,2002,42615,178.1666667,62940.38171
Hawaii,2003,44464,182.0916667,64255.7198
Hawaii,2004,45479,186.1083333,64304.06405
Hawaii,2005,46149,191.7000000,63348.08873
Hawaii,2006,49292,198.9416667,65199.46353
Hawaii,2007,51922,204.1120000,66938.53591
Hawaii,2008,53400,211.6840000,66381.42302
Hawaii,2009,55733,214.6485833,68324.69928
Hawaii,2010,55063,216.7613333,66845.37902
Hawaii,2011,55063,221.0613333,65545.12843
Hawaii,2012,54070,227.5535000,62526.79732
Hawaii,2013,54300,231.3886667,61752.00748
Hawaii,2014,56291,234.9890000,63035.43661
Hawaii,2015,57189,236.6704167,63586.05212
Hawaii,2016,57431,238.2429167,63433.65205
Hawaii,2017,56651,242.6751667,61429.30168
Hawaii,2018,57866,248.1315000,61367.00049
Hawaii,2019,63201,253.2578333,65668.09191
Hawaii,2020,65409,257.2727500,66901.68487
Hawaii,2021,70922,263.1439167,70922
Idaho,2002,39591,178.1666667,58474.07374
Idaho,2003,40148,182.0916667,58018.59118
Idaho,2004,41080,186.1083333,58084.19163
Idaho,2005,42122,191.7000000,57820.28199
Idaho,2006,41150,198.9416667,54429.88567
Idaho,2007,42798,204.1120000,55175.75324
Idaho,2008,44099,211.6840000,54819.37029
Idaho,2009,45178,214.6485833,55385.019
Idaho,2010,46283,216.7613333,56186.63489
Idaho,2011,47416,221.0613333,56442.39888
Idaho,2012,48551,227.5535000,56144.60027
Idaho,2013,49734,231.3886667,56559.38011
