Year,State,Total Revenue,Total Revenue - Per Pupil,Federal Revenue,Federal Revenue - Per Pupil,State Revenue,State Revenue - Per Pupil,Local Revenue,Local Revenue - Per Pupil,Current Spending,Current Spending - Per Pupil,Total Salary,Total Salary - Per Pupil,Total Benefits,Total Benefits - Per Pupil,All Instruction,All Instruction - Per Pupil,Instructional Staff - Salary,Instructional Staff - Salary - Per Pupil,Instructional Staff - Benefits,Instructional Staff - Benefits - Per Pupil,All Support Services,All Support Services - Per Pupil,Support Services Staff - Salary,Support Services Staff - Salary - Per Pupil,Support Services Staff - Benefits,Support Services Staff - Benefits - Per Pupil,Support Services - Pupil Support Services,Support Services - Pupil Support Services - Per Pupil,Support Services - Instructional Staff,Support Services - Instructional Staff - Per Pupil,Support Services - General Administration,Support Services - General Administration - Per Pupil,Support Services - School Administration,Support Services - School Administration - Per Pupil,Support Services - Operation & Maintenance,Support Services - Operation & Maintenance - Per Pupil,Support Services - Pupil Transportation,Support Services - Pupil Transportation - Per Pupil,Support Services - Other,Support Services - Other - Per Pupil,Total Capital Outlays,Total Capital Outlays - Per Pupil,Short-Term Debt,Short-Term Debt - Per Pupil,Long-Term Debt,Long-Term Debt - Per Pupil,Enrollment,CPI (Average of July to June)
2002,United States,419797506000.00,8899.99,32703469000.00,693.34,207374637000.00,4396.48,179719400000.00,3810.17,370533900000.00,7701.00,236939890000.00,5023.28,62295754000.00,1320.71,224815136000.00,4722.00,160704918000.00,3407.05,41702191000.00,884.11,125479294000.00,2660.24,68429616000.00,1450.75,18402044000.00,390.14,18490192000.00,392.00,17394477000.00,368.77,7305258000.00,154.88,20556361000.00,435.81,34621976000.00,734.01,15119116000.00,320.54,11991914000.00,254.24,52921115000.00,1121.96,7143275000.00,151.44,219303738000.00,4649.38,47168335.00,178.1666667
2002,Alabama,5126856000.00,7058.22,508425000.00,699.96,3010983000.00,4145.26,1607448000.00,2213.00,4554278000.00,6115.00,2803754000.00,3859.97,815412000.00,1122.59,2720735000.00,3743.00,1906939000.00,2625.31,524274000.00,721.78,1414594000.00,1947.49,755030000.00,1039.46,232627000.00,320.26,204321000.00,281.29,171343000.00,235.89,112568000.00,154.97,275116000.00,378.76,381046000.00,524.59,188252000.00,259.17,81948000.00,112.82,496146000.00,683.05,0.00,0.00,1956060000.00,2692.94,726367.00,178.1666667
2002,Alaska,1377767000.00,10358.37,249222000.00,1873.71,773418000.00,5814.74,355127000.00,2669.93,1282948000.00,9586.00,761206000.00,5722.92,217924000.00,1638.40,747223000.00,5618.00,499986000.00,3759.01,140085000.00,1053.19,485124000.00,3647.27,237828000.00,1788.05,71344000.00,536.38,64390000.00,484.10,72767000.00,547.08,20885000.00,157.02,73112000.00,549.67,165297000.00,1242.74,49777000.00,374.24,38896000.00,292.43,215409000.00,1619.49,0.00,0.00,644030000.00,4841.97,133010.00,178.1666667
2002,Arizona,6162807000.00,7169.95,619869000.00,721.17,2825228000.00,3286.93,2717710000.00,3161.84,4780245000.00,5524.00,3177747000.00,3697.06,606188000.00,705.25,2659448000.00,3094.00,2030476000.00,2362.30,380337000.00,442.49,1833852000.00,2133.54,1060526000.00,1233.84,206684000.00,240.46,295440000.00,343.72,143285000.00,166.70,81241000.00,94.52,278307000.00,323.79,623215000.00,725.06,199438000.00,232.03,212926000.00,247.72,966925000.00,1124.94,22703000.00,26.41,4125901000.00,4800.17,859533.00,178.1666667
2002,Arkansas,3135823000.00,6981.51,331069000.00,737.08,2334551000.00,5197.58,470203000.00,1046.85,2772856000.00,6119.00,1801799000.00,4011.48,404842000.00,901.33,1697645000.00,3774.00,1220300000.00,2716.84,265743000.00,591.64,910208000.00,2026.46,517792000.00,1152.80,123524000.00,275.01,125389000.00,279.16,121772000.00,271.11,95068000.00,211.66,156136000.00,347.62,254100000.00,565.72,97111000.00,216.21,60632000.00,134.99,239177000.00,532.50,16958000.00,37.75,1529665000.00,3405.61,449161.00,178.1666667
2002,California,53033838000.00,8636.68,5084409000.00,828.01,31005317000.00,5049.28,16944112000.00,2759.39,47408868000.00,7511.00,30337851000.00,4940.59,7617764000.00,1240.57,28566063000.00,4628.00,20161156000.00,3283.29,5078524000.00,827.05,15960391000.00,2599.18,9317932000.00,1517.45,2363053000.00,384.83,1999778000.00,325.67,2815683000.00,458.54,409887000.00,66.75,3076397000.00,501.00,4359473000.00,709.95,1108441000.00,180.51,2190732000.00,356.77,6998522000.00,1139.72,0.00,0.00,18253828000.00,2972.68,6140537.00,178.1666667
2002,Colorado,5816321000.00,7840.51,338856000.00,456.78,2460333000.00,3316.58,3017132000.00,4067.15,5156218000.00,6884.00,3353766000.00,4520.94,623340000.00,840.27,2963406000.00,3995.00,2212802000.00,2982.90,401086000.00,540.67,1967267000.00,2651.91,1033470000.00,1393.14,199623000.00,269.10,211195000.00,284.69,229840000.00,309.83,73375000.00,98.91,338836000.00,456.76,486656000.00,656.02,154466000.00,208.22,472899000.00,637.48,779315000.00,1050.53,55109000.00,74.29,4946344000.00,6667.77,741829.00,178.1666667
2002,Connecticut,6528727000.00,11882.30,288620000.00,525.29,2490036000.00,4531.87,3750071000.00,6825.14,5659614000.00,10001.00,3639905000.00,6624.63,989130000.00,1800.22,3570517000.00,6263.00,2544209000.00,4630.47,682315000.00,1241.81,1847167000.00,3361.85,927774000.00,1688.55,264677000.00,481.71,309200000.00,562.74,204211000.00,371.66,110642000.00,201.37,313643000.00,570.83,507430000.00,923.52,264484000.00,481.36,137557000.00,250.35,542302000.00,986.99,0.00,0.00,2259511000.00,4112.31,549450.00,178.1666667
2002,Delaware,1148504000.00,10316.12,86532000.00,777.25,764350000.00,6865.56,297622000.00,2673.31,1049506000.00,9271.00,624351000.00,5608.06,199826000.00,1794.88,645895000.00,5755.00,451400000.00,4054.58,145167000.00,1303.92,352551000.00,3166.69,157564000.00,1415.28,50567000.00,454.20,49883000.00,448.06,15236000.00,136.85,10301000.00,92.53,62041000.00,557.27,98620000.00,885.83,57094000.00,512.83,59376000.00,533.33,154186000.00,1384.93,0.00,0.00,188824000.00,1696.06,111331.00,178.1666667
2002,District of Columbia,1138126000.00,16627.36,141514000.00,2067.44,0.00,0.00,996612000.00,14559.92,926790000.00,13187.00,523301000.00,7645.12,109208000.00,1595.47,452905000.00,6473.00,278597000.00,4070.14,57993000.00,847.24,431693000.00,6306.78,230065000.00,3361.12,47597000.00,695.36,86579000.00,1264.87,98297000.00,1436.06,24575000.00,359.03,40190000.00,587.15,100469000.00,1467.79,54451000.00,795.50,27132000.00,396.38,218894000.00,3197.91,0.00,0.00,0.00,0.00,68449.00,178.1666667
2002,Florida,18538739000.00,7414.96,1762460000.00,704.93,8542871000.00,3416.90,8233408000.00,3293.13,15615806000.00,6056.00,9917804000.00,3966.84,2622286000.00,1048.84,8781232000.00,3512.00,6185609000.00,2474.07,1570904000.00,628.32,5589428000.00,2235.61,3238469000.00,1295.29,903647000.00,361.43,789368000.00,315.72,932253000.00,372.87,175550000.00,70.21,934782000.00,373.89,1628227000.00,651.24,640391000.00,256.14,488857000.00,195.53,2999914000.00,1199.88,0.00,0.00,8903382000.00,3561.10,2500179.00,178.1666667
2002,Georgia,13038876000.00,8866.16,904826000.00,615.26,6361710000.00,4325.83,5772340000.00,3925.07,10852308000.00,7340.00,7164818000.00,4871.92,2099624000.00,1427.70,6894589000.00,4688.00,4987436000.00,3391.35,1487742000.00,1011.63,3341604000.00,2272.22,1961133000.00,1333.53,556626000.00,378.49,495220000.00,336.74,549349000.00,373.55,140722000.00,95.69,653037000.00,444.05,821663000.00,558.71,398379000.00,270.89,283234000.00,192.59,1659378000.00,1128.34,316057000.00,214.91,3554005000.00,2416.65,1470634.00,178.1666667
