Year,State,All staff,Teachers,Teachers as a %
2002,United States,5904195,2999528,50.80333559
2002,Alabama,88160,46785,53.06828494
2002,Alaska,16688,8026,48.09443912
2002,Arizona,93976,46015,48.96462927
2002,Arkansas,66578,33079,49.68458049
2002,California,574466,304203,52.95404776
2002,Colorado,87582,44182,50.44643877
2002,Connecticut,84884,41773,49.2118656
2002,Delaware,14171,7571,53.42601087
2002,District of Columbia,11391,4951,43.46413835
2002,Florida,282696,134684,47.64269746
2002,Georgia,190053,92731,48.79217902
2002,Hawaii,19464,11007,56.55055487
2002,Idaho,24773,13854,55.92378799
2002,Illinois,255529,129600,50.71831377
2002,Indiana,128939,59659,46.26916604
2002,Iowa,69504,34906,50.22156998
2002,Kansas,65155,33084,50.77737702
2002,Kentucky,94827,40376,42.57859049
2002,Louisiana,101552,49980,49.21616512
2002,Maine,34072,16741,49.13418643
2002,Maryland,99282,53774,54.16288955
2002,Massachusetts,125629,68942,54.87745664
2002,Michigan,214894,98849,45.99895763
2002,Minnesota,104741,53081,50.67833991
2002,Mississippi,65155,31214,47.90729798
2002,Missouri,124755,65240,52.29449721
2002,Montana,19488,10408,53.40722496
2002,Nebraska,40541,21083,52.00414395
2002,Nevada,33967,19276,56.74919775
2002,New Hampshire,29141,14677,50.36546447
2002,New Jersey,193337,103611,53.59088017
2002,New Mexico,44941,21823,48.55922209
2002,New York,423199,209128,49.41599578
2002,North Carolina,166164,85684,51.56592282
2002,North Dakota,14895,8035,53.9442766
2002,Ohio,230007,122115,53.09186242
2002,Oklahoma,76405,41632,54.48858059
2002,Oregon,57333,28262,49.29447264
2002,Pennsylvania,229238,118470,51.67991345
2002,Rhode Island,18584,11104,59.75032286
2002,South Carolina,71338,46616,65.34525779
2002,South Dakota,18512,9370,50.61581677
2002,Tennessee,111927,58358,52.13934082
2002,Texas,582556,282847,48.55275716
2002,Utah,41111,22211,54.02690278
2002,Vermont,18050,8554,47.39058172
2002,Virginia,165249,89314,54.04813342
2002,Washington,112020,52533,46.89608998
2002,West Virginia,37675,20138,53.45189117
2002,Wisconsin,115917,63310,54.61666537
2002,Wyoming,13684,6662,48.68459515
2003,United States,5954661,3034123,50.95374867
