Year,State,Format,Revenue,Federal Revenue,State Revenue,Local Revenue
2002,Alabama,Total - Inflation Adjusted,7403182460.583126,734165937.6666666,4347860859.504141,2321155663.412318
2002,Alabama,Per Student - Inflation Adjusted,10192.072979412145,1010.7425672009834,5985.757377729512,3195.573034481651
2003,Alabama,Total - Inflation Adjusted,7338129033.78598,802094746.6345532,4191973058.9612417,2344061228.190186
2003,Alabama,Per Student - Inflation Adjusted,10081.258197522993,1101.9294117977338,5759.005354567937,3220.3093024080713
2004,Alabama,Total - Inflation Adjusted,7401426328.543665,864909214.6885611,4107774802.580535,2428742311.2745695
2004,Alabama,Per Student - Inflation Adjusted,10133.134173041351,1184.1343212034449,5623.874259839497,3325.139415815186
2005,Alabama,Total - Inflation Adjusted,7902197606.121543,893709435.4251434,4358420482.709963,2650067687.986437
2005,Alabama,Per Student - Inflation Adjusted,10834.72581130673,1225.3671590375586,5975.840713797599,3633.5179384715702
2006,Alabama,Total - Inflation Adjusted,8227663369.057065,944185927.281165,4578516512.041466,2704960929.734434
2006,Alabama,Per Student - Inflation Adjusted,11069.618885951555,1270.3172066317063,6160.010352622626,3639.2913266972237
2007,Alabama,Total - Inflation Adjusted,8908256775.639109,868540058.3405188,5131223271.242014,2908493446.0565767
2007,Alabama,Per Student - Inflation Adjusted,11985.18022955534,1168.536984939641,6903.5543628743035,3913.0888817413966
2008,Alabama,Total - Inflation Adjusted,9388025865.791698,864597791.4969953,5650283678.52908,2873144395.7656217
2008,Alabama,Per Student - Inflation Adjusted,12636.68074684435,1163.7823099053305,7605.518416153322,3867.3678671628463
2009,Alabama,Total - Inflation Adjusted,8611634393.133913,873516568.1209971,4987400314.43408,2750717510.5788364
2009,Alabama,Per Student - Inflation Adjusted,11548.88396892112,1171.4527242700883,6688.500403056235,3688.930841594797
2010,Alabama,Total - Inflation Adjusted,8640293591.907196,1346069667.1921146,4510349544.48677,2783874380.228311
2010,Alabama,Per Student - Inflation Adjusted,11537.477192236387,1797.4205728531565,6022.7161324740755,3717.3404869091564
2011,Alabama,Total - Inflation Adjusted,8583258942.096499,1253501716.9486148,4615209742.872295,2714547482.2755895
2011,Alabama,Per Student - Inflation Adjusted,11491.338235224512,1678.198205151692,6178.88467381283,3634.25535625999
2012,Alabama,Total - Inflation Adjusted,8066973634.282705,893124640.814138,4464358058.91911,2709490934.549457
2012,Alabama,Per Student - Inflation Adjusted,10833.667445457879,1199.43448472557,5995.476518598922,3638.7564421333877
2013,Alabama,Total - Inflation Adjusted,7953435151.113215,902543446.8794144,4334432050.834104,2716459653.3996964
2013,Alabama,Per Student - Inflation Adjusted,10682.234272215544,1212.1987086068464,5821.564729276345,3648.470834332354
2014,Alabama,Total - Inflation Adjusted,8053065481.551263,869392686.668312,4413854195.065513,2769818599.8174376
2014,Alabama,Per Student - Inflation Adjusted,10881.329332904943,1174.7295205094706,5964.01478052164,3742.585031873832
2015,Alabama,Total - Inflation Adjusted,7999039992.171737,864464050.9668734,4435348528.920091,2699227412.284773
2015,Alabama,Per Student - Inflation Adjusted,10883.43236519725,1176.1780228128528,6034.696922304442,3672.546549572623
2016,Alabama,Total - Inflation Adjusted,8213098737.256182,868119680.1107244,4480149664.743422,2864829392.402036
2016,Alabama,Per Student - Inflation Adjusted,11042.247954774135,1167.162114341677,6023.417386956461,3851.6684534759975
2017,Alabama,Total - Inflation Adjusted,8385763878.181358,860215378.0214132,4612294276.889025,2913254223.270921
2017,Alabama,Per Student - Inflation Adjusted,11257.115563248522,1154.7608023544833,6191.578413542303,3910.776347351737
2018,Alabama,Total - Inflation Adjusted,8365916363.323479,875554644.9110652,4594124478.249436,2896237240.1629777
2018,Alabama,Per Student - Inflation Adjusted,11271.792071331129,1179.6754706274696,6189.885016060032,3902.2419530470734
2019,Alabama,Total - Inflation Adjusted,8545490201.8345585,881706633.2544115,4778351432.498415,2885432136.081731
2019,Alabama,Per Student - Inflation Adjusted,11561.73881829739,1192.9162718814116,6464.93979397675,3903.882752439231
2020,Alabama,Total - Inflation Adjusted,8714919000,936078000,4942651000,2836190000
2020,Alabama,Per Student - Inflation Adjusted,11729.18,1259.84,6652.18,3817.15
2002,Alaska,Total - Inflation Adjusted,1989496192.0463989,359876684.5004907,1116815953.5394168,512803554.0064913
2002,Alaska,Per Student - Inflation Adjusted,14957.491122089335,2705.6381158782715,8396.487278139104,3855.380168076635
2003,Alaska,Total - Inflation Adjusted,2014686174.0872843,366532251.76531374,1149191490.9264214,498962431.39554936
2003,Alaska,Per Student - Inflation Adjusted,15113.579591723294,2749.624149768958,8620.896545907117,3743.073024796472
2004,Alaska,Total - Inflation Adjusted,2040181086.9570017,395979084.39949477,1119466506.325969,524735496.2315381
2004,Alaska,Per Student - Inflation Adjusted,15322.083509478722,2973.862407723792,8407.368886742912,3940.852215012018
2005,Alaska,Total - Inflation Adjusted,2146422392.8664577,406437262.6317162,1179309029.1092854,560676101.1254565
2005,Alaska,Per Student - Inflation Adjusted,16191.09883629369,3065.8805762389147,8895.879716001564,4229.351964645279
2006,Alaska,Total - Inflation Adjusted,2101639788.8130286,374842506.2895584,1188426168.4633808,538371114.0600893
2006,Alaska,Per Student - Inflation Adjusted,15814.524579581193,2820.639586407968,8942.733110670173,4051.1648145727527
2007,Alaska,Total - Inflation Adjusted,2269545418.979531,355786916.70504427,1326442244.3156207,587316257.9588656
2007,Alaska,Per Student - Inflation Adjusted,17167.906704125675,2691.335743390883,10033.82883823587,4442.72951800972
2008,Alaska,Total - Inflation Adjusted,2659865329.768665,368739701.9956633,1724985568.0377352,566140059.7352657
2008,Alaska,Per Student - Inflation Adjusted,20362.763101698758,2822.9098264275995,13205.73767606432,4334.115599206836
2009,Alaska,Total - Inflation Adjusted,2587528921.493003,374755321.87334955,1627363661.6834354,585409937.9362173
2009,Alaska,Per Student - Inflation Adjusted,19867.99977173434,2877.5065296109965,12495.49572554761,4494.997516575736
2010,Alaska,Total - Inflation Adjusted,2646940032.8467164,435554531.9369005,1610227194.3385854,601158306.5712302
2010,Alaska,Per Student - Inflation Adjusted,20164.8561893211,3318.128652653014,12267.001657601448,4579.725879066642
2011,Alaska,Total - Inflation Adjusted,2744056975.1915083,488975882.14265954,1648140559.090032,606940533.9588169
2011,Alaska,Per Student - Inflation Adjusted,20835.03339396533,3712.6843169637204,12513.975537055172,4608.373539946436
2012,Alaska,Total - Inflation Adjusted,2694682291.836864,397978033.1383608,1704851493.2565305,591852765.4419729
2012,Alaska,Per Student - Inflation Adjusted,20606.11666604776,3043.3241864770257,13036.919422839022,4525.8730567317125
2013,Alaska,Total - Inflation Adjusted,2829778618.0164714,356839438.2364103,1898451233.5009274,574487946.2791338
2013,Alaska,Per Student - Inflation Adjusted,21586.36326144447,2722.076790796859,14481.929741818682,4382.356728828931
2014,Alaska,Total - Inflation Adjusted,2916063655.5413227,338876917.40358055,1997376297.3405135,579810440.7972287
2014,Alaska,Per Student - Inflation Adjusted,22338.637205433017,2595.9816659822372,15300.989405663668,4441.666133787113
2015,Alaska,Total - Inflation Adjusted,3175129526.872971,374066114.85148066,2202968098.615977,598095313.4055136
2015,Alaska,Per Student - Inflation Adjusted,24283.05019202047,2860.813155571716,16848.057997239754,4574.168168701669
2016,Alaska,Total - Inflation Adjusted,2693944453.249719,331867417.6137636,1742568512.032702,619508523.603254
2016,Alaska,Per Student - Inflation Adjusted,20335.183573413666,2505.095780881195,13153.73982101899,4676.34797151348
2017,Alaska,Total - Inflation Adjusted,2655114445.0331593,371269740.39490783,1696777687.6085687,587067017.0296828
2017,Alaska,Per Student - Inflation Adjusted,20002.824629943887,2797.0328556387053,12783.004045526837,4422.787728778348
2018,Alaska,Total - Inflation Adjusted,2619922398.8117185,412771325.4413486,1637656145.6203663,569494927.7500036
2018,Alaska,Per Student - Inflation Adjusted,19717.644677872417,3106.5291988824474,12325.066335531763,4286.038775054759
2019,Alaska,Total - Inflation Adjusted,2598005649.7644367,398168693.9838871,1625262326.8898904,574574628.8906595
2019,Alaska,Per Student - Inflation Adjusted,19837.711007762537,3040.3162076349486,12410.087883962797,4387.306916164792
2020,Alaska,Total - Inflation Adjusted,2611686000,381757000,1659732000,570197000
2020,Alaska,Per Student - Inflation Adjusted,19782.95,2891.73,12572.11,4319.12
2002,Arizona,Total - Inflation Adjusted,8899096188.84535,895091125.7619097,4079630552.671724,3924374510.411716
2002,Arizona,Per Student - Inflation Adjusted,10353.411151641081,1041.3698171157398,4746.328456497412,4565.698438023255
2003,Arizona,Total - Inflation Adjusted,9163176309.63971,1046345499.358593,4115180481.017311,4001650329.2638044
2003,Arizona,Per Student - Inflation Adjusted,10328.864528194797,1179.4538589530082,4638.694439991086,4510.716229250704
2004,Arizona,Total - Inflation Adjusted,9797209895.861229,1154930125.8827617,4397368557.836362,4244911212.142105
2004,Arizona,Per Student - Inflation Adjusted,10505.83809713533,1238.4619211325771,4715.428316597041,4551.947859405713
2005,Arizona,Total - Inflation Adjusted,10039817432.648668,1204569267.5052164,4455899611.158059,4379348553.985394
2005,Arizona,Per Student - Inflation Adjusted,10490.60841001565,1258.6502273735002,4655.965745396453,4575.979016653625
