Year,State,Format,Total Salary,Total Benefits
2002,Alabama,Total - Inflation Adjusted,4048622086.633559,1177455309.169793
2002,Alabama,Per Student - Inflation Adjusted,5573.798484368793,1621.0204847622035
2002,Alabama,Percent,0.7746961401367971,0.22530385986320284
2003,Alabama,Total - Inflation Adjusted,4144264511.3561363,1177221516.5709171
2003,Alabama,Per Student - Inflation Adjusted,5693.462086779834,1617.2896695771747
2003,Alabama,Percent,0.7787792933646156,0.22122070663538435
2004,Alabama,Total - Inflation Adjusted,4060079869.9404607,1284377728.5535982
2004,Alabama,Per Student - Inflation Adjusted,5558.5705493903315,1758.4171415230226
2004,Alabama,Percent,0.7596801831843009,0.2403198168156991
2005,Alabama,Total - Inflation Adjusted,4063435868.99061,1450231863.3046427
2005,Alabama,Per Student - Inflation Adjusted,5571.384330555556,1988.4217624152318
2005,Alabama,Percent,0.7369745019962756,0.26302549800372443
2006,Alabama,Total - Inflation Adjusted,4255499275.074686,1626705649.4593544
2006,Alabama,Per Student - Inflation Adjusted,5725.4152182841835,2188.597611889817
2006,Alabama,Percent,0.7234528602802761,0.2765471397197239
2007,Alabama,Total - Inflation Adjusted,4554825021.8299265,1793016318.8617032
2007,Alabama,Per Student - Inflation Adjusted,6128.06316472084,2412.322770415262
2007,Alabama,Percent,0.7175393724901006,0.2824606275098993
2008,Alabama,Total - Inflation Adjusted,4653351164.597938,1975105910.9887848
2008,Alabama,Per Student - Inflation Adjusted,6263.600456092571,2658.580691833109
2008,Alabama,Percent,0.7020256989008565,0.2979743010991436
2009,Alabama,Total - Inflation Adjusted,4565821402.593435,1914365204.3253431
2009,Alabama,Per Student - Inflation Adjusted,6123.131862955555,2567.3149286399216
2009,Alabama,Percent,0.7045819403528516,0.29541805964714835
2010,Alabama,Total - Inflation Adjusted,4558211049.515398,1893776197.4716086
2010,Alabama,Per Student - Inflation Adjusted,6086.630380354834,2528.7847240903643
2010,Alabama,Percent,0.7064813832608465,0.29351861673915347
2011,Alabama,Total - Inflation Adjusted,4420226664.56183,1828747128.2511709
2011,Alabama,Per Student - Inflation Adjusted,5917.831102430521,2448.335917810643
2011,Alabama,Percent,0.7073527325133335,0.2926472674866664
2012,Alabama,Total - Inflation Adjusted,4205688448.4769506,1582618572.9949217
2012,Alabama,Per Student - Inflation Adjusted,5648.087332473461,2125.3986305198555
2012,Alabama,Percent,0.7265835893139719,0.2734164106860281
