Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2002,Alabama,0,0,5573.798484368793,1621.0204847622035
2003,Alabama,0.02146895025836093,-0.0023015225409542817,5693.462086779834,1617.2896695771747
2004,Alabama,-0.002732056966387786,0.08475935872024132,5558.5705493903315,1758.4171415230226
2005,Alabama,-4.3312542066376025e-4,0.22664813992583466,5571.384330555556,1988.4217624152318
2006,Alabama,0.02720168917849941,0.3501356907348858,5725.4152182841835,2188.597611889817
2007,Alabama,0.09944110500342496,0.4881507008032282,6128.06316472084,2412.322770415262
2008,Alabama,0.12375796750784307,0.6400660675322132,6263.600456092571,2658.580691833109
2009,Alabama,0.09855637589470057,0.5837646425649798,6123.131862955555,2567.3149286399216
2010,Alabama,0.09200761337609031,0.5599955385272788,6086.630380354834,2528.7847240903643
2011,Alabama,0.061723189136912104,0.5103670439857537,5917.831102430521,2448.335917810643
2012,Alabama,0.01332822639946607,0.3111485329759063,5648.087332473461,2125.3986305198555
2013,Alabama,0.006283357655767485,0.2919409411824738,5608.820653747256,2094.2627307597513
2014,Alabama,0.00771310775853018,0.3392539800993819,5616.789792703062,2170.9581360404104
2015,Alabama,0.0023305567765310453,0.3901399276534092,5586.7885381975575,2253.445299412024
2016,Alabama,-0.0010206886406999294,0.38885189634736594,5568.109371570247,2251.3573742799126
2017,Alabama,0.01749814978125075,0.41177733400837613,5671.329645098786,2288.519978350549
2018,Alabama,0.007650302096025463,0.39976794677254923,5616.439726596583,2269.052515631832
2019,Alabama,0.02651527835265477,0.40926056722840265,5721.589302663437,2284.4402478448433
2020,Alabama,0.03984921885032233,0.4071259564215868,5795.91,2280.98
2002,Alaska,0,0,8263.89915521723,2365.850365881038
2003,Alaska,0.010655581220318178,0.013141974431028602,8351.955803862165,2396.9423108970864
2004,Alaska,-0.007841321729891049,0.055134781796954746,8199.099263197797,2496.291009568135
2005,Alaska,-0.013524101456718784,0.2397190946013974,8152.13734461398,2932.9898735524253
2006,Alaska,-0.01058444265204539,0.4267773709807432,8176.430388526547,3375.541765165577
2007,Alaska,-0.012788313446353339,0.6343025534922615,8158.217822531257,3866.515294139982
2008,Alaska,0.0018125319777728688,1.4344485961373294,8278.877736697152,5759.54110189008
2009,Alaska,0.05257883430668775,1.512118910392604,8698.405339626574,5943.297443289018
2010,Alaska,0.11001518682072309,1.9049891717298895,9173.05356464607,6872.7696948176135
2011,Alaska,0.1225890206525917,2.241471730660472,9276.96245942709,7668.83707997612
2012,Alaska,0.10904047582781429,2.5029845965097457,9164.99865129519,8287.537389328223
2013,Alaska,0.09668621536869604,1.8714272890351094,9062.904288723748,6793.3673023645115
2014,Alaska,0.08542932630059386,1.931434776450133,8969.878492663485,6935.336038420946
2015,Alaska,0.08451076617487097,2.567667929151652,8962.287604416508,8440.568475525482
2016,Alaska,0.08855391959504377,1.2825571596788752,8995.699816549886,5400.18869137065
2017,Alaska,0.09097516857652121,1.2134755001660773,9015.70877396249,5236.751821936628
2018,Alaska,0.052213828967091924,1.162444073553119,8695.388972309038,5116.019102612929
2019,Alaska,0.06636003871181329,1.1921443540700372,8812.291823067966,5186.28552214065
2020,Alaska,0.03953470857355623,1.2419000273606908,8590.61,5304
2002,Arizona,0,0,5338.556368215423,1018.3813296738293
2003,Arizona,-0.006181276345325504,0.022882484808925296,5305.557276018387,1041.684424979784
2004,Arizona,0.00997341826489384,0.2543877693139256,5391.800023806349,1277.4450844405042
2005,Arizona,0.009380768255674576,0.2669935369867511,5388.636128325508,1290.2825628847156
2006,Arizona,-0.007282458747957965,0.33351080166808167,5299.678551690246,1358.022503337155
2007,Arizona,0.05499298847913048,0.5249805488537935,5632.139537067883,1553.0117190684523
2008,Arizona,0.06371363548431686,0.5754768542329332,5678.695202672379,1604.4362136840762
2009,Arizona,0.0699469637017045,0.6163307706917491,5711.972176722491,1646.0410794497889
2010,Arizona,0.08975671497818927,0.4595545487700279,5817.727650552332,1486.383102107907
2011,Arizona,0.07519293699899388,0.3169866170127389,5739.978100876223,1341.1945821960712
2012,Arizona,0.051891578689628126,0.2907366145861525,5615.582486085689,1314.462069820943
2013,Arizona,-0.07398954509588906,0.3811212327770077,4943.5590110624025,1406.5080774762075
2014,Arizona,-0.0618101328139562,0.5811236155022872,5008.579490061236,1610.1867699339116
2015,Arizona,-0.09034250104024066,0.5077981777911889,4856.257833966538,1535.5135131787679
2016,Arizona,-0.08202730720260787,0.5348429120193023,4900.648964981378,1563.0553655826693
2017,Arizona,-0.056498820920723,0.576100470268903,5036.934227992435,1605.0712926119932
2018,Arizona,-0.05034700889888566,0.6100031127542853,5069.776023237679,1639.5971107457133
2019,Arizona,-0.018620361935626772,0.670143356263309,5239.150516425507,1700.8428118973407
2020,Arizona,0.006230828990140491,0.6787915785411862,5371.82,1709.65
2002,Arkansas,0,0,5792.578995193156,1301.5209413327368
