Growth Rank,2020 Rank,State,2020,2002,Growth
 , ,United States,48008047,47168335,0.018
1,28,Utah,606880,480526,0.263
2,2,Texas,5162293,4112315,0.255
3,35,Nevada,447293,356814,0.254
4,19,Colorado,891187,741829,0.201
5,6,Georgia,1735585,1470634,0.18
6,38,Idaho,289262,246415,0.174
7,36,Nebraska,329290,284573,0.157
8,3,Florida,2838569,2500179,0.135
9,14,Tennessee,1013083,897702,0.129
10,13,Washington,1136285,1009200,0.126
11,23,South Carolina,754652,673916,0.12
12,12,Virginia,1296817,1162045,0.116
13,9,North Carolina,1441549,1296156,0.112
14,47,Delaware,123566,111331,0.11
15,44,South Dakota,139685,127129,0.099
16,48,North Dakota,116129,105936,0.096
17,16,Arizona,936332,859533,0.089
18,49,Wyoming,94234,87897,0.072
19,30,Iowa,517324,485932,0.065
20,33,Arkansas,476465,449161,0.061
21,26,Oklahoma,657468,621573,0.058
22,31,Kansas,497255,470174,0.058
23,25,Kentucky,691816,654363,0.057
24,17,Maryland,909003,860640,0.056
25,29,Oregon,580545,550118,0.055
26,24,Alabama,743012,726367,0.023
27,10,New Jersey,1350553,1329963,0.015
28,15,Indiana,997869,994657,0.003
29,46,Alaska,132017,133010,-0.007
30,37,New Mexico,315372,320260,-0.015
31,40,Hawaii,181088,184546,-0.019
32,22,Minnesota,823690,840445,-0.02
33,43,Montana,148547,151751,-0.021
34,20,Missouri,885375,912765,-0.03
35,21,Wisconsin,845833,875592,-0.034
36,34,Mississippi,463305,492198,-0.059
37,5,Illinois,1924972,2053395,-0.063
38,18,Massachusetts,897905,959021,-0.064
39,39,West Virginia,263486,282145,-0.066
40,1,California,5641492,6140537,-0.081
41,4,New York,2531420,2846068,-0.111
42,8,Pennsylvania,1566855,1773869,-0.117
43,50,Vermont,86095,97492,-0.117
44,27,Louisiana,637629,725027,-0.121
45,32,Connecticut,483151,549450,-0.121
46,7,Ohio,1576931,1796677,-0.122
47,41,Maine,177350,209337,-0.153
48,45,Rhode Island,132629,156624,-0.153
49,42,New Hampshire,168325,203072,-0.171
50,11,Michigan,1299608,1729527,-0.249
