Growth Rank,2020 Rank,State,2002,2020,Growth
 , ,United States,64522,64133,-0.006
1,5,Washington,62762,76743,0.223
2,3,Massachusetts,72623,84290,0.161
3,1,New York,75088,87069,0.16
4,36,North Dakota,46573,53525,0.149
5,19,Wyoming,54637,59786,0.094
6,49,South Dakota,45190,48984,0.084
7,17,Vermont,56663,61108,0.078
8,33,Oklahoma,50170,54096,0.078
9,2,California,78479,84531,0.077
10,13,Hawaii,61536,65409,0.063
11,29,Nebraska,52325,55267,0.056
12,8,Maryland,69674,73444,0.054
13,23,Iowa,55204,58184,0.054
14,39,Montana,49643,52135,0.05
15,7,Rhode Island,71851,75336,0.049
16,20,New Hampshire,57637,59622,0.034
17,31,New Mexico,52619,54256,0.031
18,28,Maine,53861,55276,0.026
19,12,Oregon,66541,67685,0.017
20,4,Connecticut,77328,78427,0.014
21,30,Utah,54026,54678,0.012
22,9,Alaska,71360,72010,0.009
23,26,Texas,56651,57090,0.008
24,34,Alabama,53708,54095,0.007
25,6,New Jersey,76809,76376,-0.006
26,35,Kentucky,54801,53907,-0.016
27,42,Louisiana,52458,51566,-0.017
28,24,Colorado,58712,57706,-0.017
29,21,Wisconsin,60983,59431,-0.025
30,50,Mississippi,48078,46843,-0.026
31,16,Ohio,63578,61406,-0.034
32,22,Minnesota,60928,58663,-0.037
33,27,Nevada,58863,56672,-0.037
34,10,Pennsylvania,73065,70339,-0.037
35,43,Kansas,53562,51320,-0.042
36,25,Virginia,60260,57665,-0.043
37,11,Illinois,71384,68083,-0.046
38,18,Georgia,63641,60578,-0.048
39,47,West Virginia,53068,50238,-0.053
40,46,Arkansas,53373,50456,-0.055
41,40,Tennessee,55616,51862,-0.067
42,14,Delaware,69836,64853,-0.071
43,44,Missouri,54866,50817,-0.074
44,37,South Carolina,57649,53329,-0.075
45,38,Idaho,57169,52875,-0.075
46,45,Arizona,57721,50782,-0.12
47,32,North Carolina,61630,54150,-0.121
48,48,Florida,56713,49102,-0.134
49,15,Michigan,76064,63568,-0.164
50,41,Indiana,63818,51745,-0.189
