Growth Rank,2020 Rank,State,2002,2020,Growth
 , ,United States,2999528,3198170,0.066
1,33,Utah,22211,30256,0.362
2,35,Nevada,19276,25508,0.323
3,1,Texas,282847,364478,0.289
4,46,Delaware,7571,9747,0.287
5,7,Georgia,92731,117837,0.271
6,39,Idaho,13854,17207,0.242
7,4,Florida,134684,166002,0.233
8,21,Colorado,44182,53901,0.22
9,16,Washington,52533,62212,0.184
10,10,North Carolina,85684,100777,0.176
11,28,Arkansas,33079,38629,0.168
12,47,North Dakota,8035,9284,0.155
13,22,South Carolina,46616,53556,0.149
14,18,Maryland,53774,61485,0.143
15,36,Nebraska,21083,24028,0.14
16,8,New Jersey,103611,117060,0.13
17,42,Hawaii,11007,12221,0.11
18,15,Tennessee,58358,64784,0.11
19,50,Wyoming,6662,7391,0.109
20,30,Kansas,33084,36603,0.106
21,13,Massachusetts,68942,75152,0.09
22,34,Oregon,28262,30238,0.07
23,23,Arizona,46015,48912,0.063
24,14,Missouri,65240,69145,0.06
25,45,South Dakota,9370,9930,0.06
26,6,Pennsylvania,118470,124294,0.049
27,20,Minnesota,53081,55630,0.048
28,26,Kentucky,40376,42223,0.046
29,24,Oklahoma,41632,43315,0.04
30,3,New York,209128,217398,0.04
31,17,Indiana,59659,61712,0.034
32,44,Montana,10408,10675,0.026
33,5,Illinois,129600,132815,0.025
34,31,Iowa,34906,35737,0.024
35,25,Connecticut,41773,42386,0.015
36,32,Mississippi,31214,31578,0.012
37,37,New Mexico,21823,21850,0.001
38,41,New Hampshire,14677,14694,0.001
39,11,Virginia,89314,87147,-0.024
40,43,Rhode Island,11104,10704,-0.036
41,19,Wisconsin,63310,59801,-0.055
42,48,Vermont,8554,8042,-0.06
43,38,West Virginia,20138,18854,-0.064
44,49,Alaska,8026,7484,-0.068
45,27,Alabama,46785,42022,-0.102
46,2,California,304203,271805,-0.107
47,40,Maine,16741,14826,-0.114
48,9,Ohio,122115,105998,-0.132
49,12,Michigan,98849,84838,-0.142
50,29,Louisiana,49980,38589,-0.228
