State,Enrollment 2002,Enrollment 2020,Enrollment Growth,Total Staff Growth,Non-Teachers Growth,Teachers Growth
Michigan,1729527,1299608,-0.249,-0.107,-0.077,-0.142
New Hampshire,203072,168325,-0.171,0.099,0.198,0.001
Rhode Island,156624,132629,-0.153,0.104,0.312,-0.036
Maine,209337,177350,-0.153,0.073,0.254,-0.114
Ohio,1796677,1576931,-0.122,0.48,1.173,-0.132
Connecticut,549450,483151,-0.121,0.141,0.264,0.015
Louisiana,725027,637629,-0.121,-0.22,-0.211,-0.228
Vermont,97492,86095,-0.117,0.036,0.122,-0.06
Pennsylvania,1773869,1566855,-0.117,0.102,0.158,0.049
New York,2846068,2531420,-0.111,0.007,-0.025,0.04
