Growth Rank,2020 Rank,State,2020,2002,Growth
 , ,United States,1750,1620,0.08
1,33,Kentucky,1254,323,2.887
2,43,Rhode Island,941,249,2.78
3,41,Hawaii,1089,330,2.305
4,9,Montana,2101,670,2.135
5,5,North Dakota,2434,783,2.108
6,12,Kansas,1959,711,1.754
7,1,Oregon,3358,1462,1.296
8,2,Washington,3094,1484,1.085
9,25,Arkansas,1536,769,0.997
10,7,Iowa,2210,1365,0.619
11,10,Indiana,1994,1271,0.569
12,39,Oklahoma,1159,794,0.46
13,8,Colorado,2164,1517,0.427
14,3,Minnesota,3036,2205,0.377
15,19,Utah,1763,1281,0.377
16,37,Mississippi,1170,879,0.332
17,32,Maine,1277,966,0.322
18,16,Wisconsin,1853,1423,0.302
19,15,Wyoming,1890,1520,0.243
20,13,Maryland,1933,1579,0.224
21,11,California,1994,1646,0.212
22,6,Texas,2233,1896,0.177
23,23,Connecticut,1607,1425,0.128
24,4,New York,2746,2440,0.126
25,28,Missouri,1416,1311,0.08
26,18,New Mexico,1786,1683,0.061
27,17,South Dakota,1786,1697,0.053
28,21,Ohio,1718,1711,0.004
29,20,Nebraska,1762,1854,-0.05
30,46,Louisiana,829,882,-0.06
31,44,West Virginia,936,996,-0.06
32,14,South Carolina,1908,2050,-0.069
33,36,Virginia,1173,1401,-0.163
34,47,Alabama,825,986,-0.163
35,26,Pennsylvania,1530,1833,-0.165
36,30,Arizona,1352,1624,-0.168
37,42,North Carolina,1049,1263,-0.169
38,31,Georgia,1325,1629,-0.187
39,29,Massachusetts,1409,1738,-0.189
40,35,New Jersey,1191,1527,-0.22
41,49,Idaho,760,984,-0.227
42,24,Illinois,1556,2037,-0.236
43,50,Vermont,742,972,-0.237
44,27,Michigan,1430,1965,-0.272
45,22,Nevada,1672,2448,-0.317
46,40,Florida,1151,1733,-0.336
47,48,Tennessee,812,1227,-0.338
48,45,New Hampshire,842,1329,-0.367
49,34,Delaware,1224,2000,-0.388
50,38,Alaska,1161,2339,-0.503
