Growth Rank,2020 Rank,State,2002,2020,Growth
 , ,United States,1907,3406,0.786
1,8,Hawaii,1392,5014,2.602
2,4,Illinois,2024,6063,1.995
3,5,Pennsylvania,2068,5656,1.736
4,12,New Hampshire,1919,4639,1.418
5,1,New York,2929,7069,1.414
6,3,Connecticut,2600,6224,1.394
7,2,New Jersey,2679,6233,1.327
8,6,Vermont,2447,5618,1.296
9,7,Alaska,2366,5304,1.242
10,19,Kentucky,1610,3536,1.196
11,17,California,1791,3932,1.195
12,20,Washington,1597,3483,1.181
13,34,Colorado,1213,2493,1.055
14,23,North Dakota,1633,3294,1.017
15,25,Louisiana,1634,3243,0.984
16,32,Kansas,1364,2623,0.923
17,9,Delaware,2592,4958,0.913
18,11,Massachusetts,2575,4769,0.852
19,10,Rhode Island,2731,4901,0.794
20,36,North Carolina,1306,2340,0.792
21,13,Wyoming,2503,4484,0.791
22,22,Virginia,1872,3303,0.764
23,16,Maryland,2357,4035,0.712
24,49,Arizona,1018,1710,0.679
25,30,Nebraska,1819,2856,0.57
26,15,Oregon,2630,4124,0.568
27,43,Tennessee,1273,1992,0.565
28,28,Minnesota,1920,2981,0.552
29,14,Michigan,2776,4286,0.544
30,39,Missouri,1473,2267,0.539
31,42,Mississippi,1315,2020,0.536
32,35,Nevada,1623,2487,0.533
33,31,South Carolina,1825,2772,0.519
34,44,Oklahoma,1249,1864,0.493
35,40,Utah,1524,2255,0.48
36,37,New Mexico,1579,2319,0.469
37,29,Georgia,2062,2963,0.437
38,26,Ohio,2240,3174,0.417
39,38,Alabama,1621,2281,0.407
40,33,Iowa,1915,2596,0.356
41,48,Arkansas,1302,1753,0.347
42,41,Montana,1659,2227,0.343
43,18,Maine,2791,3743,0.341
44,45,South Dakota,1389,1815,0.307
45,50,Texas,1044,1295,0.24
46,24,Indiana,2696,3252,0.206
47,47,Florida,1515,1791,0.182
48,21,West Virginia,2900,3390,0.169
49,46,Idaho,1652,1800,0.089
50,27,Wisconsin,2990,3106,0.039
