Growth Rank,2020 Rank,State,2020,2002,Growth
 , ,United States,8176,6819,0.199
1,6,New Hampshire,11228,7094,0.583
2,1,New York,17813,11473,0.553
3,12,Hawaii,9806,6378,0.537
4,8,Illinois,10455,6964,0.501
5,16,North Dakota,8616,5938,0.451
6,17,Washington,8592,5984,0.436
7,2,Connecticut,12880,9044,0.424
8,3,Vermont,12292,8729,0.408
9,7,Pennsylvania,10576,7855,0.346
10,5,Massachusetts,11648,8869,0.313
11,13,Maryland,9783,7522,0.301
12,10,Wyoming,9899,7620,0.299
13,23,Kansas,7782,6016,0.294
14,4,New Jersey,12073,9542,0.265
15,15,Minnesota,8885,7068,0.257
16,19,California,8316,6683,0.244
17,33,New Mexico,6580,5390,0.221
18,20,Ohio,8213,6730,0.22
19,14,Alaska,9753,8112,0.202
20,40,Florida,6082,5071,0.199
21,46,Mississippi,5546,4655,0.191
22,9,Rhode Island,10023,8416,0.191
23,11,Delaware,9827,8310,0.183
24,21,Nebraska,8007,6793,0.179
25,22,Virginia,7828,6674,0.173
26,31,Kentucky,6665,5734,0.162
27,26,Oregon,7460,6442,0.158
28,32,Louisiana,6626,5741,0.154
29,27,Iowa,7194,6270,0.147
30,48,Utah,5281,4612,0.145
31,29,Montana,7131,6300,0.132
32,36,Colorado,6351,5769,0.101
33,41,South Dakota,6031,5518,0.093
34,43,Alabama,5883,5405,0.088
35,18,Maine,8480,7870,0.078
36,50,Arizona,4801,4468,0.075
37,25,Michigan,7535,7015,0.074
38,42,Tennessee,5977,5596,0.068
39,44,Arkansas,5810,5450,0.066
40,47,Oklahoma,5424,5096,0.064
41,45,Nevada,5748,5438,0.057
42,34,South Carolina,6393,6063,0.054
43,37,North Carolina,6270,5948,0.054
44,30,Georgia,7111,6769,0.05
45,39,Texas,6147,5909,0.04
46,28,West Virginia,7138,6892,0.036
47,35,Missouri,6364,6173,0.031
48,24,Wisconsin,7560,7658,-0.013
49,49,Idaho,4975,5255,-0.053
50,38,Indiana,6213,6658,-0.067
