Growth Rank,2020 Rank,State,2002,2020,Growth
 , ,United States,12852,16062,0.25
1,1,New York,18054,30723,0.702
2,8,New Hampshire,12939,20131,0.556
3,7,Illinois,13054,20197,0.547
4,19,North Dakota,10992,16624,0.512
5,15,Washington,11776,17685,0.502
6,5,Pennsylvania,14435,21524,0.491
7,4,Vermont,15875,23575,0.485
8,2,Connecticut,17158,24875,0.45
9,17,California,12471,16934,0.358
10,9,Delaware,14896,20032,0.345
11,10,Alaska,14957,19783,0.323
12,33,Louisiana,10411,13753,0.321
13,14,Maryland,14135,18581,0.314
14,11,Rhode Island,14993,19574,0.306
15,12,Wyoming,14903,19384,0.301
16,16,Maine,13521,17584,0.301
17,26,Colorado,11322,14496,0.28
18,22,Oregon,12426,15844,0.275
19,13,Hawaii,14785,18756,0.269
20,3,New Jersey,18969,24010,0.266
21,6,Massachusetts,16755,21132,0.261
22,27,New Mexico,11437,14394,0.259
23,18,Minnesota,13421,16762,0.249
24,37,Kentucky,10194,12715,0.247
25,32,Montana,11051,13769,0.246
26,25,Kansas,11718,14588,0.245
27,48,Mississippi,8878,10774,0.213
28,29,Iowa,12017,14310,0.191
29,28,South Carolina,12038,14324,0.19
30,44,Tennessee,9268,10971,0.184
31,38,South Dakota,10533,12410,0.178
32,40,Arkansas,10081,11828,0.173
33,24,Nebraska,12545,14717,0.173
34,49,Utah,8607,10027,0.165
35,36,Texas,11473,13346,0.163
36,31,Virginia,12129,13998,0.154
37,42,Alabama,10192,11729,0.151
38,20,Ohio,14008,16064,0.147
39,30,West Virginia,12351,14163,0.147
40,41,Nevada,10472,11755,0.123
41,21,Michigan,14518,15967,0.1
42,45,Oklahoma,10141,10956,0.08
43,43,Florida,10707,11526,0.076
44,23,Wisconsin,14091,15015,0.066
45,34,Georgia,12803,13605,0.063
46,39,Missouri,11702,12402,0.06
47,46,Arizona,10353,10790,0.042
48,50,Idaho,9518,9802,0.03
49,35,Indiana,13116,13368,0.019
50,47,North Carolina,10806,10790,-0.001
