Growth Rank,2020 Rank,State,2020,2002,Growth
 , ,United States,4815,3841,0.254
1,11,New Hampshire,6280,3726,0.686
2,12,Hawaii,6001,3582,0.675
3,2,Vermont,7895,4833,0.634
4,4,Connecticut,7827,4855,0.612
5,15,Washington,5590,3478,0.607
6,14,Maine,5948,3784,0.572
7,23,North Dakota,4647,3058,0.52
8,5,New York,7213,4759,0.516
9,9,Illinois,6379,4237,0.506
10,3,Alaska,7894,5267,0.499
11,6,Delaware,6826,4573,0.493
12,26,Louisiana,4555,3060,0.488
13,8,Rhode Island,6446,4466,0.443
14,10,Wyoming,6283,4482,0.402
15,17,California,5190,3753,0.383
16,44,Mississippi,3547,2569,0.381
17,38,Arkansas,3992,2926,0.364
18,13,Pennsylvania,5967,4435,0.345
19,7,Massachusetts,6570,4903,0.34
20,25,South Carolina,4576,3473,0.318
21,40,Alabama,3700,2812,0.316
22,50,Utah,2690,2054,0.31
23,46,Tennessee,3418,2613,0.308
24,27,Montana,4468,3442,0.298
25,30,Nebraska,4397,3388,0.298
26,16,Maryland,5296,4143,0.278
27,21,Colorado,4878,3829,0.274
28,37,Kentucky,3995,3143,0.271
29,28,Missouri,4435,3520,0.26
30,1,New Jersey,8027,6497,0.236
31,41,Nevada,3691,2990,0.235
32,24,Virginia,4607,3733,0.234
33,36,Georgia,4010,3281,0.222
34,32,Iowa,4287,3508,0.222
35,29,West Virginia,4410,3634,0.213
36,31,Kansas,4394,3671,0.197
37,20,Oregon,4995,4193,0.191
38,35,Minnesota,4142,3560,0.164
39,43,Arizona,3563,3081,0.156
40,34,New Mexico,4215,3671,0.148
41,42,South Dakota,3637,3170,0.147
42,18,Ohio,5173,4554,0.136
43,39,Texas,3719,3364,0.106
44,22,Wisconsin,4731,4290,0.103
45,33,Indiana,4237,3848,0.101
46,48,North Carolina,3190,2925,0.091
47,47,Florida,3377,3228,0.046
48,45,Oklahoma,3481,3344,0.041
49,19,Michigan,5059,4877,0.037
50,49,Idaho,2924,2924,-0
