Growth Rank,2020 Rank,State,2020,2002,Growth
 , ,United States,10723,6932,0.547
1,16,Indiana,10481,2125,3.932
2,15,Montana,10515,2388,3.404
3,30,Rhode Island,6607,1729,2.822
4,5,California,15538,4293,2.62
5,24,North Dakota,7444,2288,2.254
6,35,Delaware,6139,2449,1.507
7,14,Arkansas,11467,4972,1.306
8,22,Iowa,8704,3840,1.267
9,3,Oregon,16706,8008,1.086
10,13,Nebraska,11548,5540,1.084
11,34,Maryland,6145,3209,0.915
12,20,Kentucky,8868,4673,0.898
13,1,Texas,19009,10051,0.891
14,27,Alabama,7109,3889,0.828
15,25,New Mexico,7336,4035,0.818
16,28,Maine,7054,3986,0.77
17,18,Ohio,9190,5310,0.731
18,21,South Dakota,8819,5190,0.699
19,9,South Carolina,12870,7911,0.627
20,45,Oklahoma,3836,2429,0.579
21,8,Kansas,13474,8719,0.545
22,32,Utah,6187,4130,0.498
23,7,Washington,13818,9361,0.476
24,23,Missouri,8406,5785,0.453
25,2,Minnesota,17855,12868,0.388
26,12,Illinois,11723,8787,0.334
27,40,Idaho,5257,4031,0.304
28,11,Colorado,12160,9736,0.249
29,10,New York,12488,10207,0.224
30,33,Tennessee,6165,5039,0.223
31,6,Michigan,15416,12831,0.201
32,36,North Carolina,5728,4832,0.185
33,41,Louisiana,5182,4441,0.167
34,44,Mississippi,4454,4012,0.11
35,4,Pennsylvania,15725,14441,0.089
36,26,Alaska,7140,6992,0.021
37,19,Wisconsin,9186,9041,0.016
38,48,West Virginia,1072,1090,-0.017
39,46,Vermont,3541,3657,-0.032
40,42,Florida,4940,5142,-0.039
41,31,Arizona,6550,6970,-0.06
42,38,Connecticut,5476,5938,-0.078
43,37,Virginia,5559,6326,-0.121
44,43,New Hampshire,4493,5361,-0.162
45,29,Massachusetts,6671,7977,-0.164
46,47,Georgia,2989,3800,-0.213
47,39,New Jersey,5421,6935,-0.218
48,17,Nevada,10046,13152,-0.236
49,49,Wyoming,463,2301,-0.799
50,50,Hawaii,0,0,NA
