Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,259,266,7
1,28,Mississippi,251,267,16
2,31,Georgia,253,265,13
3,40,Tennessee,250,263,13
4,16,Illinois,256,269,13
5,21,New Jersey,256,268,12
6,11,Arizona,258,270,12
7,41,California,251,262,12
8,25,Florida,256,267,11
9,2,Massachusetts,261,272,11
10,13,Wisconsin,259,269,11
11,45,New Mexico,252,262,9
12,36,Nevada,254,264,9
13,42,Hawaii,254,262,8
14,9,Virginia,261,270,8
15,35,Pennsylvania,257,265,8
16,34,Michigan,257,265,8
17,50,Alabama,246,254,7
18,22,Oklahoma,260,267,7
19,37,Arkansas,256,263,7
20,3,Indiana,266,272,6
21,44,Louisiana,256,262,6
22,8,Texas,264,270,6
23,26,Kentucky,261,267,6
24,19,North Carolina,263,268,5
25,47,Maryland,255,260,5
26,12,Nebraska,265,270,5
27,5,Idaho,267,271,4
28,23,Missouri,263,267,4
29,30,New York,262,266,4
30,33,Colorado,262,265,3
31,49,Rhode Island,253,257,3
32,4,Vermont,268,272,3
33,38,Connecticut,260,263,3
34,18,Washington,265,268,3
35,7,New Hampshire,268,270,2
36,1,Wyoming,271,273,2
37,32,Ohio,263,265,2
38,43,West Virginia,261,262,1
39,24,Oregon,266,267,1
40,27,Iowa,266,267,1
41,29,Utah,266,266,0
42,20,Maine,268,268,-0
43,39,South Carolina,263,263,-0
44,46,Alaska,260,260,-0
45,14,Kansas,270,269,-1
46,10,Minnesota,271,270,-1
47,6,South Dakota,272,270,-1
48,48,Delaware,261,259,-2
49,15,Montana,273,269,-4
50,17,North Dakota,274,268,-6
