Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,247,250,3
1,39,California,237,248,10
2,5,Florida,245,255,9
3,8,Connecticut,245,254,9
4,14,Georgia,243,252,9
5,13,Wisconsin,244,252,8
6,33,Nevada,242,249,8
7,3,Indiana,248,255,8
8,35,Arizona,241,248,7
9,40,Maryland,242,247,5
10,45,Hawaii,240,245,5
11,18,New Jersey,246,251,5
12,32,Louisiana,245,249,5
13,19,Mississippi,246,250,4
14,6,Utah,251,254,3
15,21,Michigan,247,250,3
16,37,Tennessee,245,248,3
17,48,New Mexico,241,244,3
18,31,North Carolina,247,249,3
19,25,Pennsylvania,247,250,3
20,10,Massachusetts,251,253,3
21,16,Illinois,249,251,2
22,49,Alabama,241,243,2
23,34,South Carolina,247,249,2
24,1,Vermont,255,257,1
25,23,New York,249,250,1
26,30,Washington,248,249,1
27,4,Idaho,254,255,1
28,50,Alaska,239,240,0
29,43,Texas,246,246,0
30,7,Oregon,254,254,0
31,27,Colorado,250,250,0
32,28,Arkansas,250,250,-0
33,47,Rhode Island,245,245,-0
34,26,Ohio,251,250,-1
35,41,Minnesota,248,247,-1
36,24,Oklahoma,251,250,-1
37,17,Kansas,253,251,-1
38,12,Wyoming,255,253,-3
39,2,Maine,258,255,-3
40,15,Missouri,255,251,-3
41,29,Nebraska,253,250,-3
42,38,West Virginia,252,248,-4
43,11,Kentucky,257,253,-4
44,22,New Hampshire,255,250,-5
45,9,Montana,258,253,-5
46,46,Delaware,250,245,-5
47,42,Iowa,252,246,-6
48,44,Virginia,252,246,-6
49,20,North Dakota,259,250,-9
50,36,South Dakota,261,248,-13
