Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,278,282,4
1,46,Mississippi,261,274,13
2,30,Tennessee,268,280,12
3,2,New Jersey,281,292,10
4,34,Georgia,270,279,10
5,42,Hawaii,266,275,10
6,31,Arizona,271,280,9
7,43,Arkansas,266,274,9
8,41,California,267,276,9
9,1,Massachusetts,287,294,8
10,35,Florida,271,279,7
11,50,Alabama,262,269,7
12,16,Pennsylvania,279,285,6
13,11,Idaho,280,286,6
14,45,Nevada,268,274,6
15,49,New Mexico,263,269,5
16,22,Illinois,277,283,5
17,7,Virginia,282,287,5
18,48,Louisiana,266,272,5
19,4,Wisconsin,284,289,5
20,12,Washington,281,286,5
21,38,Oklahoma,272,276,5
22,14,Indiana,281,286,4
23,18,Utah,281,285,4
24,13,Ohio,282,286,4
25,28,Michigan,276,280,4
26,36,Kentucky,274,278,4
27,40,Rhode Island,272,276,4
28,17,Nebraska,282,285,3
29,9,Wyoming,284,286,3
30,32,Texas,277,280,3
31,29,Maryland,278,280,2
32,10,Connecticut,284,286,2
33,21,North Carolina,281,284,2
34,6,South Dakota,285,287,2
35,26,Missouri,279,281,2
36,47,West Virginia,271,272,2
37,19,Colorado,283,285,1
38,5,New Hampshire,286,287,1
39,8,Vermont,286,287,1
40,27,New York,280,280,1
41,23,Maine,282,282,0
42,3,Minnesota,291,291,0
43,37,Delaware,277,277,-0
44,39,South Carolina,277,276,-1
45,33,Oregon,281,280,-1
46,15,North Dakota,287,286,-2
47,20,Montana,286,284,-2
48,24,Kansas,284,282,-2
49,25,Iowa,284,282,-2
50,44,Alaska,279,274,-5
