Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,218,220,2
1,29,Mississippi,205,219,14
2,40,California,206,216,11
3,38,Nevada,207,218,11
4,39,Hawaii,208,218,9
5,31,Tennessee,212,219,7
6,44,Arizona,209,216,7
7,6,Florida,218,225,7
8,4,Utah,219,225,6
9,48,Louisiana,205,210,5
10,47,Alabama,207,212,5
11,3,Wyoming,222,227,5
12,10,Pennsylvania,219,223,5
13,35,Georgia,214,218,4
14,49,New Mexico,203,208,4
15,11,Idaho,218,223,4
16,24,Rhode Island,216,220,4
17,1,Massachusetts,228,231,3
18,41,Oklahoma,214,216,3
19,2,New Jersey,225,227,2
20,22,Kentucky,219,221,2
21,33,Illinois,216,218,2
22,13,Nebraska,221,222,2
23,45,Arkansas,214,215,1
24,17,Indiana,220,222,1
25,42,Texas,215,216,1
26,5,Colorado,224,225,1
27,43,South Carolina,215,216,1
28,25,Maryland,219,220,1
29,9,Virginia,223,224,0
30,15,Ohio,222,222,0
31,36,Oregon,218,218,0
32,19,North Carolina,221,221,0
33,12,Minnesota,223,222,-0
34,14,South Dakota,222,222,-0
35,21,North Dakota,222,221,-0
36,32,Michigan,219,218,-1
37,30,Kansas,220,219,-1
38,18,Montana,223,222,-1
39,26,Wisconsin,221,220,-1
40,27,Washington,221,220,-1
41,28,New York,222,220,-3
42,20,Maine,224,221,-3
43,23,Iowa,223,221,-3
44,8,New Hampshire,228,224,-4
45,7,Connecticut,228,224,-4
46,34,Missouri,222,218,-4
47,16,Vermont,226,222,-4
48,46,West Virginia,219,213,-6
49,37,Delaware,224,218,-6
50,50,Alaska,212,204,-7
