Year,State,Total Revenue,Total Revenue - Per Pupil,Federal Revenue,Federal Revenue - Per Pupil,State Revenue,State Revenue - Per Pupil,Local Revenue,Local Revenue - Per Pupil,Current Spending,Current Spending - Per Pupil,Total Salary,Total Salary - Per Pupil,Total Benefits,Total Benefits - Per Pupil,All Instruction,All Instruction - Per Pupil,Instructional Staff - Salary,Instructional Staff - Salary - Per Pupil,Instructional Staff - Benefits,Instructional Staff - Benefits - Per Pupil,All Support Services,All Support Services - Per Pupil,Support Services Staff - Salary,Support Services Staff - Salary - Per Pupil,Support Services Staff - Benefits,Support Services Staff - Benefits - Per Pupil,Support Services - Pupil Support Services,Support Services - Pupil Support Services - Per Pupil,Support Services - Instructional Staff,Support Services - Instructional Staff - Per Pupil,Support Services - General Administration,Support Services - General Administration - Per Pupil,Support Services - School Administration,Support Services - School Administration - Per Pupil,Support Services - Operation & Maintenance,Support Services - Operation & Maintenance - Per Pupil,Support Services - Pupil Transportation,Support Services - Pupil Transportation - Per Pupil,Support Services - Other,Support Services - Other - Per Pupil,Total Capital Outlays,Total Capital Outlays - Per Pupil,Short-Term Debt,Short-Term Debt - Per Pupil,Long-Term Debt,Long-Term Debt - Per Pupil,Enrollment,CPI (Average of July to June),Total Debt,Total Debt - Per Pupil
2002,Alabama,7403182460.583126,10192.072979412145,734165937.6666666,1010.7425672009834,4347860859.504141,5985.757377729512,2321155663.412318,3195.573034481651,6576379560.9277115,8830.062858497648,4048622086.633559,5573.798484368793,1177455309.169793,1621.0204847622035,3928742611.8257723,5404.893749690384,2753620807.4113894,3790.9488672187185,757051901.0753877,1042.2506574008883,2042674397.2614262,2812.1764703672256,1090263672.9438233,1500.9807259025292,335913496.743047,462.455589707679,295039619.51121795,406.18289149089185,247419372.0954313,340.6252702683582,162548244.62066448,223.77675244176297,397267632.6048143,546.9296170538953,550230602.1225011,757.5082052231041,271835975.99965644,374.2416011507499,118332950.30714068,162.91213273846355,716435055.926766,986.3245192962908,0,0,2824551554.3733296,3888.606618832814,726367,178.1666667,2824551554.3733296,3888.606618832814
2003,Alabama,7338129033.78598,10081.258197522993,802094746.6345532,1101.9294117977338,4191973058.9612417,5759.005354567937,2344061228.190186,3220.3093024080713,6729855295.164091,9035.335147767088,4144264511.3561363,5693.462086779834,1177221516.5709171,1617.2896695771747,3980225493.895432,5465.000211346849,2797160326.633168,3842.793737029373,749547102.4100412,1029.7456318603734,2149635509.709462,2953.205297766106,1141499799.832685,1568.2205234189335,342430018.41335773,470.43083515254574,314084921.6605034,431.4920022092367,268687837.4333096,369.12770300322586,179135586.03832582,246.0945545016531,403750203.04951715,554.6805669526007,575001947.0042557,789.9524995258886,281569018.1279449,386.83102581816286,127405996.39560549,175.02694575533806,610756159.8657715,839.0640319318906,0,0,3204738007.855524,4402.730198704365,727898,182.0916667,3204738007.855524,4402.730198704365
2004,Alabama,7401426328.543665,10133.134173041351,864909214.6885611,1184.1343212034449,4107774802.580535,5623.874259839497,2428742311.2745695,3325.139415815186,6759529837.991675,9059.148023907965,4060079869.9404607,5558.5705493903315,1284377728.5535982,1758.4171415230226,3975169840.158092,5438.372462524223,2734024716.1893206,3743.1025160333315,815711633.1649506,1116.7708620546762,2185067128.2031193,2991.5292455633416,1126159998.4088407,1541.7979326452864,377204958.83619845,516.430147112601,323290691.0286644,442.61096552950534,279964084.489762,383.2929677442874,178168262.5156796,243.92124701006063,401583259.7204286,549.8008408095286,588157785.217509,805.2373271938811,289781759.1639782,396.729717650424,124121286.06709734,169.93617962565463,621545067.4945676,850.9388654548762,0,0,3297853966.262992,4515.024444797389,730418,186.1083333,3297853966.262992,4515.024444797389
2005,Alabama,7902197606.121543,10834.72581130673,893709435.4251434,1225.3671590375586,4358420482.709963,5975.840713797599,2650067687.986437,3633.5179384715702,7059228745.198226,9483.030619105371,4063435868.99061,5571.384330555556,1450231863.3046427,1988.4217624152318,4097816741.7579546,5614.397328142933,2710304673.437663,3716.108262076161,912056726.8453312,1250.517348578508,2340568703.9423575,3209.1588171883145,1156154481.6092854,1585.2000736437144,434808394.2696922,596.1695409754825,345411146.3667188,473.59927359154926,317010489.42618674,434.65271540166924,184961257.86254567,253.5955077725613,418011181.2336984,573.1398049817423,627725379.1118935,860.6759901017214,313079598.00860715,429.2576373891497,134369651.93270734,184.23788794992174,687059158.7167449,942.031619235785,0,0,3426889134.7104845,4698.616386997914,729340,191.7,3426889134.7104845,4698.616386997914
2006,Alabama,8227663369.057065,11069.618885951555,944185927.281165,1270.3172066317063,4578516512.041466,6160.010352622626,2704960929.734434,3639.2913266972237,7495523295.439947,9888.054473670998,4255499275.074686,5725.4152182841835,1626705649.4593544,2188.597611889817,4302054725.994712,5778.979850981614,2810028823.219113,3780.6517805880017,1014704503.3553041,1365.1998020206593,2565052747.270966,3451.0650522136193,1241710175.2483203,1670.6164921257289,498107115.04911697,670.1657159937727,378817824.5153406,509.6657989469834,362346247.33844155,487.5002314811711,198809880.32609054,267.4869296749487,454342404.7703526,611.2730705799399,683346081.43202,919.3796311826112,339843152.85345894,457.22625631345426,147547156.03526205,198.5072698951104,861987105.8539792,1159.7350786269449,0,0,3704436627.8110094,4984.006730313071,743265,198.9416667,3704436627.8110094,4984.006730313071
2007,Alabama,8908256775.639109,11985.18022955534,868540058.3405188,1168.536984939641,5131223271.242014,6903.5543628743035,2908493446.0565767,3913.0888817413966,8033790086.475806,10575.94791881418,4554825021.8299265,6128.06316472084,1793016318.8617032,2412.322770415262,4605007274.689876,6190.505804227581,2996705963.73682,4031.7727520674916,1118001806.3820353,1504.156718921474,2740480646.789508,3687.0399723926075,1336046865.08755,1797.513600608979,552144691.2895861,742.8581756094693,416810290.7276397,560.7737245972799,383897448.52335966,516.4941540306302,206182973.91750604,277.3995983577644,487034941.86770004,655.2569756555224,712372958.0254958,958.4327544313905,371887891.2116876,500.33519887365753,162294142.5161186,218.34756644636275,866956934.4967468,1166.4068262645017,0,0,4969280793.974631,6685.673162528416,743273,204.112,4969280793.974631,6685.673162528416
2008,Alabama,9388025865.791698,12636.68074684435,864597791.4969953,1163.7823099053305,5650283678.52908,7605.518416153322,2873144395.7656217,3867.3678671628463,8367549353.669856,11063.880413446457,4653351164.597938,6263.600456092571,1975105910.9887848,2658.580691833109,4797038586.1390085,6452.917439272688,3031730943.5621014,4080.834098951739,1232355480.766142,1658.7993687052394,2884139778.360669,3882.170979797717,1398523458.4982805,1882.4746436905955,612162183.3924623,823.9913221830652,449602616.28535926,605.1896499617353,398728766.3852723,536.7039851854652,210551793.0287598,283.410331307515,510696447.64247644,687.4210621846714,746804878.8063811,1005.2261461659832,404600181.58552366,544.6038400398708,163155094.6268967,219.6159649524763,992706699.2651782,1336.230064565579,0,0,4797747142.351335,6457.973346379508,742919,211.684,4797747142.351335,6457.973346379508
2009,Alabama,8611634393.133913,11548.88396892112,873516568.1209971,1171.4527242700883,4987400314.43408,6688.500403056235,2750717510.5788364,3688.930841594797,8065184184.67824,10631.373649974608,4565821402.593435,6123.131862955555,1914365204.3253431,2567.3149286399216,4598216528.524835,6162.804745459971,2972277974.31263,3986.0579585991604,1193460986.1596973,1600.531129338229,2794543460.6928515,3747.709033679888,1376415300.4836068,1845.8797410800332,595712901.6222581,798.8991874469081,448129778.7058349,600.9782482337957,373943885.5756006,501.48441207997473,207351339.1993582,278.069750484116,498792409.2369259,668.9255506257981,732095327.0461206,981.8019629808568,377184836.4605534,505.83524481384256,157045884.46845806,210.6138644615037,1108630535.0378706,1486.7622469418832,0,0,4919417054.746757,6597.324687886723,745668,214.6485833,4919417054.746757,6597.324687886723
2010,Alabama,8640293591.907196,11537.477192236387,1346069667.1921146,1797.4205728531565,4510349544.48677,6022.7161324740755,2783874380.228311,3717.3404869091564,8028662131.699943,10540.498007884324,4558211049.515398,6086.630380354834,1893776197.4716086,2528.7847240903643,4629470985.049527,6177.973751142265,3000280783.4984837,4006.313596129739,1185149376.7200406,1582.5452629862557,2739825179.0844193,3658.518014764859,1346199038.6502204,1797.598606969816,587022397.7084662,783.8604777695375,454053463.55193317,606.3011187544673,366000163.2403688,488.7273881125365,191129119.38685697,255.21784070194218,490396161.2326915,654.833218955846,708607830.4457909,946.215723221887,377086941.13181114,503.5279576774959,152551500.0949664,203.70663628179483,866100370.7251139,1156.509621820083,0,0,5080283040.784147,6783.764505428976,748889,216.7613333,5080283040.784147,6783.764505428976
2011,Alabama,8583258942.096499,11491.338235224512,1253501716.9486148,1678.198205151692,4615209742.872295,6178.88467381283,2714547482.2755895,3634.25535625999,7796464822.172498,10256.282860866106,4420226664.56183,5917.831102430521,1828747128.2511709,2448.335917810643,4473738515.179985,5985.762523060834,2910674582.9687796,3896.833514947862,1145114033.7870204,1533.0830974183757,2671995203.1509347,3577.2869985444895,1300938494.4865887,1741.7071587887683,566140948.3320075,757.9526522854821,445032853.5293421,595.8110466282074,346537530.74735475,463.9517018035645,183940876.512618,246.26158309703814,474775107.865958,635.6365257094013,691188530.1799632,925.3663041215357,377473851.1721443,505.35995854549566,153046453.14355388,204.89987863924637,656600183.0644437,879.0584194739405,0,0,5239372294.348457,7014.509812184779,746933,221.0613333,5239372294.348457,7014.509812184779
2012,Alabama,8066973634.282705,10833.667445457879,893124640.814138,1199.43448472557,4464358058.91911,5995.476518598922,2709490934.549457,3638.7564421333877,7341514078.851785,9680.293741317973,4205688448.4769506,5648.087332473461,1582618572.9949217,2125.3986305198555,4177829251.265086,5607.069042840473,2760726486.6800547,3707.5536561402037,986513608.3437519,1324.852314631504,2532064219.8197346,3400.470479535581,1245018150.6964295,1672.0153800864407,492903490.62418276,661.9569569244154,416352598.8251114,559.1511940708448,326332829.2862997,438.25577757538326,163674055.54847538,219.81190381602562,445215771.81410074,597.908276998596,656854543.9940495,882.130653813279,365308118.661106,490.5914067680787,158326301.69059142,212.62126649337407,656822887.1001762,882.0854296791742,0,0,5516497538.865584,7408.459364567013,744621,227.5535,5516497538.865584,7408.459364567013
2013,Alabama,7953435151.113215,10682.234272215544,902543446.8794144,1212.1987086068464,4334432050.834104,5821.564729276345,2716459653.3996964,3648.470834332354,7384971284.489232,9734.625861788154,4176032556.572054,5608.820653747256,1559279315.7001667,2094.2627307597513,4167258837.015244,5593.721539366127,2738076515.0932083,3677.5016057971,967757611.5183172,1299.7913618428745,2576459286.146403,3460.4323789467603,1239111378.9746816,1664.2492928436066,489614912.6142572,657.6008990850025,415973930.0155187,558.6894693835927,331096448.8942707,444.69004394198356,163610801.26531535,219.74881931414836,445678491.12054193,598.5942716765738,687015263.6617875,922.7248920290355,370596532.6574484,497.7481984535762,162487818.53152013,218.23668414784984,715509004.7696791,960.9952541055027,0,0,5688993837.891585,7640.874588511124,744548,231.3886667,5688993837.891585,7640.874588511124
2014,Alabama,8053065481.551263,10881.329332904943,869392686.668312,1174.7295205094706,4413854195.065513,5964.01478052164,2769818599.8174376,3742.585031873832,7447537509.731305,9883.775974396673,4156877048.8703723,5616.789792703062,1606684412.2607863,2170.9581360404104,4186948714.4557824,5653.696475154155,2721947205.863891,3677.902540055066,999755059.4400162,1350.8765433381986,2617221346.775806,3536.3959038401795,1241509704.5138283,1677.529695996408,504363591.1659694,681.4981496687079,425982600.0642583,575.5844012166526,313343317.6372085,423.3922348705684,190785980.1426875,257.7884144151428,453516452.2435092,612.797635761674,696321038.2390238,940.8740659988339,373859985.465277,505.1650059258093,163411972.98384175,220.80509394056742,636023336.1923323,859.3968987484519,0,0,5773802490.72616,7801.586566126499,740081,234.989,5773802490.72616,7801.586566126499
